ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
516334,192,Valdebernardo,https://wikidata.org/entity/Q43025212,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.40327613,-3.61749595,CALLE,CORDEL DE PAVONES,2,28032,268250,50_LTS_EX
516335,062,Cuatro Caminos,https://wikidata.org/entity/Q5824684,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.44826013,-3.70363902,CALLE,BRAVO MURILLO,116,28020,268251,50_LTS_EX
516337,053,Ciudad Jardín,https://wikidata.org/entity/Q3773744,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.44860312,-3.67614399,CALLE,MANTUANO,60,28002,268253,50_LTS_EX
516604,182,Santa Eugenia,https://wikidata.org/entity/Q390463,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,OPERATIVO,40.38168313,-3.610734,CALLE,PUENTELARRA,23,28031,268543,50_LTS_EX
516607,191,Casco Histórico de Vicálvaro,https://wikidata.org/entity/Q16544374,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.40576013,-3.60389,CALLE,SAN CIRIACO,16,28032,268546,50_LTS_EX
516608,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.35696009,-3.68804003,CALLE,COALICION,27,28041,268547,50_LTS_EX
516610,182,Santa Eugenia,https://wikidata.org/entity/Q390463,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,OPERATIVO,40.38320712,-3.60757295,CALLE,PUENTELARRA,7,28031,268549,50_LTS_EX
516611,208,"Calle del Salvador, Madrid",https://wikidata.org/entity/Q38366642,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,OPERATIVO,40.4476401,-3.63239994,CALLE,JUAN IGNACIO LUCA DE TENA,12,28027,268550,50_LTS_EX
516612,014,Justicia,https://wikidata.org/entity/Q1992319,01,Centro,https://wikidata.org/entity/Q1763376,OPERATIVO,40.42561014,-3.69215999,CALLE,MARQUES DE LA ENSENADA,3,28004,268551,50_LTS_EX
516613,182,Santa Eugenia,https://wikidata.org/entity/Q390463,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,OPERATIVO,40.38313009,-3.61175997,AVENIDA,SANTA EUGENIA,42,28031,268552,50_LTS_EX
516616,144,Media Legua,https://wikidata.org/entity/Q9031035,14,Moratalaz,https://wikidata.org/entity/Q2076109,OPERATIVO,40.41650809,-3.65756296,ACCESO,PARQUE DE LA ELIPA,2,28030,268555,50_LTS_EX
516343,062,Cuatro Caminos,https://wikidata.org/entity/Q5824684,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.45550414,-3.701182,CALLE,ASUNCION CASTELL,11,28020,268259,50_LTS_EX
516345,062,Cuatro Caminos,https://wikidata.org/entity/Q5824684,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.45546513,-3.69843,CALLE,INFANTA MERCEDES,26,28020,268261,50_LTS_EX
516344,162,La Piovera,https://wikidata.org/entity/Q5964851,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45087016,-3.64529997,RONDA,SOBRADIEL,1,28043,268260,50_LTS_EX
