ID,ID_ADRESS,DISTRITO ID,DISTRITO,BARRIO ID,BARRIO,TIPO DE VÍA,NOMBRE DE VÍA,NÚMERO,DOG_GAMES,"ESTADO,C,50"
4998041,4998041_adress,03,RETIRO,033,ESTRELLA,CALLE,JUAN ESPLANDIU,4,0,OPERATIVO
4996586,4996586_adress,02,ARGANZUELA,024,LEGAZPI,CALLE,PUERTO DE BEJAR,7,0,OPERATIVO
4996591,4996591_adress,02,ARGANZUELA,025,DELICIAS,CALLE,TOMAS BRETON,49 A,0,OPERATIVO
4996660,4996660_adress,02,ARGANZUELA,022,ACACIAS,CALLE,ARGANDA,40,0,OPERATIVO
4996676,4996676_adress,02,ARGANZUELA,026,PALOS DE LA FRONTERA,CALLE,CANARIAS,19,0,OPERATIVO
4997144,4997144_adress,04,SALAMANCA,043,FUENTE DEL BERRO,PLAZA,AMERICA ESPAÑOLA,2,0,OPERATIVO
4997171,4997171_adress,04,SALAMANCA,044,GUINDALERA,AVENIDA,AMERICA,32,0,OPERATIVO
4997200,4997200_adress,04,SALAMANCA,044,GUINDALERA,CALLE,BERLIN,5,0,OPERATIVO
4997212,4997212_adress,04,SALAMANCA,044,GUINDALERA,CALLE,FLORESTAN AGUILAR,2,0,OPERATIVO
4997227,4997227_adress,05,CHAMARTIN,054,HISPANOAMERICA,CALLE,COLOMBIA,61,0,OPERATIVO
4998010,4998010_adress,10,LATINA,103,LUCERO,CALLE,ANTOLIN GARCIA,1,0,OPERATIVO
3569404,3569404_adress,15,CIUDAD LINEAL,153,QUINTANA,CALLE,VIRGEN DE LLUC,44,2,OPERATIVO
4996527,4996527_adress,17,VILLAVERDE,175,ANGELES,CALLE,MENASALBAS,8,0,ACTIVO
4996531,4996531_adress,17,VILLAVERDE,175,ANGELES,CALLE,SANTIAGO AMON,4,0,ACTIVO
3569057,3569057_adress,21,BARAJAS,213,CASCO HISTORICO DE BARAJAS,AVENIDA,LOGROÑO,98,2,ACTIVO
4996545,4996545_adress,18,VILLA DE VALLECAS,181,CASCO HISTORICO DE VALLECAS,CAMINO,SUERTE,28,0,ACTIVO
4996546,4996546_adress,18,VILLA DE VALLECAS,181,CASCO HISTORICO DE VALLECAS,CALLE,VILLAR DEL POZO,4E,0,ACTIVO
4996547,4996547_adress,18,VILLA DE VALLECAS,181,CASCO HISTORICO DE VALLECAS,CALLE,CABEZA MESADA,36,0,ACTIVO
4996516,4996516_adress,19,VICALVARO,191,CASCO HISTORICO DE VICALVARO,CALLE,AMBROZ,2B,0,ACTIVO
4996519,4996519_adress,19,VICALVARO,191,CASCO HISTORICO DE VICALVARO,AVENIDA,DAROCA,301,0,ACTIVO
4996522,4996522_adress,19,VICALVARO,191,CASCO HISTORICO DE VICALVARO,CALLE,MERCURIO,69,0,ACTIVO
3570066,3570066_adress,15,CIUDAD LINEAL,154,LA CONCEPCION,CALLE,ARTURO SORIA,55,1,ACTIVO
3569403,3569403_adress,15,CIUDAD LINEAL,154,LA CONCEPCION,CALLE,VIRGEN DE NURIA,2,2,OPERATIVO
4996530,4996530_adress,17,VILLAVERDE,171,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,CALLE,AFLUENTES,12,0,ACTIVO
4996532,4996532_adress,17,VILLAVERDE,171,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,PLAZA,GOMEZ ACEBO,1,0,ACTIVO
4997997,4997997_adress,10,LATINA,107,AGUILAS,AVENIDA,LAS AGUILAS,144,0,OPERATIVO
5003319,5003319_adress,10,LATINA,107,AGUILAS,CALLE,FRAY JOSE CERDEIRIÑA,22,0,OPERATIVO
5183029,5183029_adress,08,FUENCARRAL - EL PARDO,085,LA PAZ,CALLE,SANGENJO,27,12,ACTIVO
7872575,7872575_adress,08,FUENCARRAL - EL PARDO,086,VALVERDE,CALLE,VILLACASTIN,10,0,ACTIVO
7872577,7872577_adress,08,FUENCARRAL - EL PARDO,086,VALVERDE,CALLE,ISLAS JARVI,7,0,ACTIVO
7872635,7872635_adress,08,FUENCARRAL - EL PARDO,083,PEÑAGRANDE,CALLE,PICO DE MAJALASNA,3,0,ACTIVO
4997902,4997902_adress,08,FUENCARRAL - EL PARDO,083,PEÑAGRANDE,CALLE,VALLE DE MENA,20,0,OPERATIVO
5003208,5003208_adress,08,FUENCARRAL - EL PARDO,083,PEÑAGRANDE,CALLE,JOAQUIN LORENZO,32,0,OPERATIVO
4997998,4997998_adress,08,FUENCARRAL - EL PARDO,084,PILAR,CALLE,FERMIN CABALLERO,65,0,OPERATIVO
5203827,5203827_adress,09,MONCLOA - ARAVACA,097,ARAVACA,PASEO,ERMITA,36,0,ACTIVO
5214758,5214758_adress,09,MONCLOA - ARAVACA,093,CIUDAD UNIVERSITARIA,CALLE,RECTOR ROYO-VILLANOVA,10 C,11,ACTIVO
5246177,5246177_adress,09,MONCLOA - ARAVACA,091,CASA DE CAMPO,PASEO,Paseo Puerta del Angel,1,0,ACTIVO
4997956,4997956_adress,09,MONCLOA - ARAVACA,093,CIUDAD UNIVERSITARIA,CALLE,VALLE DE ARAN,7,0,OPERATIVO
4997993,4997993_adress,09,MONCLOA - ARAVACA,097,ARAVACA,AVENIDA,EUROPA,34 A,0,OPERATIVO
4997994,4997994_adress,09,MONCLOA - ARAVACA,095,VALDEMARIN,AVENIDA,VALDEMARIN,67,0,OPERATIVO
4997995,4997995_adress,09,MONCLOA - ARAVACA,094,VALDEZARZA,CALLE,OFELIA NIETO,57,0,OPERATIVO
4997999,4997999_adress,09,MONCLOA - ARAVACA,097,ARAVACA,CALLE,GOLONDRINA,36,0,OPERATIVO
4997996,4997996_adress,09,MONCLOA - ARAVACA,094,VALDEZARZA,CALLE,VALDERREY,14,0,OPERATIVO
3580438,3580438_adress,20,SAN BLAS - CANILLEJAS,204,ARCOS,CALLE,ARCOS DEL JALON,16,1,ACTIVO
3580440,3580440_adress,20,SAN BLAS - CANILLEJAS,204,ARCOS,CALLE,ARCOS DEL JALON,13,1,ACTIVO
3580432,3580432_adress,20,SAN BLAS - CANILLEJAS,206,REJAS,CALLE,DEYANIRA,19,1,ACTIVO
3580433,3580433_adress,20,SAN BLAS - CANILLEJAS,207,CANILLEJAS,CALLE,GONZALO TORRENTE BALLESTER,4,1,ACTIVO
3580434,3580434_adress,20,SAN BLAS - CANILLEJAS,207,CANILLEJAS,CALLE,GONZALO TORRENTE BALLESTER,2,2,ACTIVO
3580436,3580436_adress,20,SAN BLAS - CANILLEJAS,204,ARCOS,AVENIDA,GUADALAJARA,110,1,ACTIVO
3580437,3580437_adress,20,SAN BLAS - CANILLEJAS,204,ARCOS,AVENIDA,CANILLEJAS A VICALVARO,90,1,ACTIVO
3580439,3580439_adress,20,SAN BLAS - CANILLEJAS,207,CANILLEJAS,CALLE,CIRCE,59,6,ACTIVO
3580441,3580441_adress,20,SAN BLAS - CANILLEJAS,205,ROSAS,AVENIDA,CANILLEJAS A VICALVARO,167,3,ACTIVO
4991235,4991235_adress,20,SAN BLAS - CANILLEJAS,206,REJAS,CALLE,NAVARIDAS,11,7,ACTIVO
6293496,6293496_adress,20,SAN BLAS - CANILLEJAS,206,REJAS,CALLE,PIRRA,16,1,ACTIVO
4996986,4996986_adress,03,RETIRO,031,PACIFICO,PASEO,INFANTA ISABEL,2,0,OPERATIVO
4997032,4997032_adress,03,RETIRO,036,NIÑO JESUS,CALLE,ANUNCIACION,1,0,OPERATIVO
4996484,4996484_adress,07,CHAMBERI,076,VALLEHERMOSO,CALLEJON,MAGALLANES,3,1,OPERATIVO
4996549,4996549_adress,14,MORATALAZ,143,MARROQUINA,CALLE,CAMINO DE LOS VINATEROS,107C,0,OPERATIVO
