ID,BARRIO,same_as_wikidata_barrio,DISTRITO,same_as_wikidata_distrito,ESTADO,CLASE-VIAL,NOMBRE-VIA,CODIGO-POSTAL,FECHA-INSTALACION,MODELO
65239,Corralejos,http://wikidata.org/entity/Q10260772,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"BAHIA DE POLLENSA, 5",28042,2021-09-14,MU-51
71328,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"BOLTAÑA, 11",28022,2021-09-16,MU-51
72245,Hellín,http://wikidata.org/entity/Q10294546,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ARCOS DE JALON, 59",28037,2021-09-21,MU-51
72888,Amposta,http://wikidata.org/entity/Q11905392,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ALBERIQUE, 12",28037,2021-09-14,MU-51
72940,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"BALANDRO, 1",28042,2021-09-14,MU-51
72244,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"NIZA, 8",28022,2019-01-29,MU-51
73112,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CARRETERA,"CANILLAS, 2",28043,2021-05-06,MU-51
73159,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,AVENIDA,"ALCALDE CONDE DE MAYALDE, 13",28050,2021-09-15,MU-51
73114,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"ROSA DE CASTRO, 17",28043,2021-09-21,MU-51
73169,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"RIAÑO, 9",28042,2021-09-14,MU-51
73192,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"PEDRO ALONSO, 7",28043,2020-03-03,MU-51
73197,Ventas,http://wikidata.org/entity/Q71762,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"MARQUES DE CORBERA, 54",28017,2021-09-16,MU-51
73191,Palomas,http://wikidata.org/entity/Q390460,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,AVENIDA,"ANDES, 52",28042,2021-09-08,MU-51
73199,Ventas,http://wikidata.org/entity/Q71762,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"MARQUES DE CORBERA, 54",28017,2019-01-29,MU-51
73203,CASCO H.BARAJAS,,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"ORION, 3",28042,2019-01-29,MU-51
76172,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"MARIA LOMBILLO, 2",28027,2021-09-23,MU-51
76175,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"MARIA LOMBILLO, 2",28027,2021-09-22,MU-51
76180,Costillares,http://wikidata.org/entity/Q331385,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"JAZMIN, 15",28033,2021-09-17,MU-51
76179,Costillares,http://wikidata.org/entity/Q331385,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"JAZMIN, 15",28033,2021-09-14,MU-51
76183,San Juan Bautista,http://wikidata.org/entity/Q165609,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"ARTURO SORIA, 126",28043,2021-09-20,MU-51
76191,Pueblo Nuevo,http://wikidata.org/entity/Q71753,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 160",28037,2021-05-06,MU-51
78771,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"LAS PEDROÑERAS, 39",28043,2021-09-23,MU-51
78772,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"LAS PEDROÑERAS, 39",28043,2019-05-24,MU-51
79119,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,PASEO,"GINEBRA, 55",28022,2022-06-22,ACB
88068,Pueblo Nuevo,http://wikidata.org/entity/Q71753,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 70",28037,2021-09-24,MU-51
88155,Pueblo Nuevo,http://wikidata.org/entity/Q71753,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"FRANCISCO RIOJA, 14",28017,2021-09-30,MU-51
94293,Apóstol Santiago,http://wikidata.org/entity/Q11906303,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CARRETERA,"ESTACION DE HORTALEZA, 11",28033,2021-09-23,MU-51
94479,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"LOGROÑO, 231",28042,2021-05-06,MU-51
65534,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AGUSTIN CALVO, 8",28043,2019-06-14,MU-51
66790,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"EL PROVENCIO, 20",28043,2021-02-11,MU-51
63467,Rejas,http://wikidata.org/entity/Q10359029,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ONCE, 7",28022,2019-06-14,MU-51
94507,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"GUADALAJARA, 4",28032,2021-02-11,MU-51
94502,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"LOGROÑO, 231",28042,2021-09-15,MU-51
61947,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"BOLTAÑA, 68",28022,2019-06-14,MU-51
94501,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"LOGROÑO, 231",28042,2021-09-16,MU-51
94487,Timón,http://wikidata.org/entity/Q10382570,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"LOGROÑO, 361",28042,2019-01-29,MU-51
94490,Timón,http://wikidata.org/entity/Q10382570,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"TIMON, 18",28042,2021-09-22,MU-51
94488,Timón,http://wikidata.org/entity/Q10382570,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"TIMON, 20",28042,2021-02-11,MU-51
94493,Corralejos,http://wikidata.org/entity/Q10260772,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"BAHIA DE POLLENSA, 5",28042,2019-02-04,MU-51
94500,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"LOGROÑO, 70",28042,2021-02-11,MU-51
94514,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2021-09-02,MU-51
94517,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ARCOS DE JALON, 11",28037,2021-09-23,MU-51
94525,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"CONSERVEROS, 4",28037,2021-02-11,MU-51
94521,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ELECTRICISTAS, 11",28037,2021-09-08,MU-51
