POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
C FUENTE CARRANTONA. JUNTA MUNICIPAL;CEREZOS;2 CEREZOS, COLOR PLATA;217;NO; ;Moratalaz;Pavones;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA CORREGIDOR ALONSO DE TOBAR;CEREZOS;2 CEREZOS A CADA LADO DE LA AV DE MORATALAZ, COLOR PLATA Y CHAMPAN;218;NO; ;Moratalaz;Vinateros;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ASCAO 3;CEREZOS;2 CEREZOS COLO PLATA Y AZUL. DONDE CENTRO DE MAYORES;219;NO; ;Ciudad Lineal;Pueblo Nuevo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ARTURO SORIA 101 - CENTRO COMERCIAL;CEREZOS; ;220;NO; ;Ciudad Lineal;San Juan Bautista;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GTA DE SANDRO PERTINI;CEREZOS; ;221;NO; ;Hortaleza;Canillas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
Sanchinarro: inmediaciones estación metro Blasco Ibáñez;CEREZOS; ;222;NO; ;Hortaleza;Valdefuentes;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
JMD VILLAVERDE;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;223;NO; ;Villaverde;Villaverde Alto - Casco Histórico de Villaverde;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
JMD VILLA VALLECAS_Paseo Federico García Lorca;CEREZOS; ;224;NO; ;Villa de Vallecas;Casco Histórico de Vallecas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
SAN CIPRIANO;CEREZOS;2 CEREZOS, JUNTA MUNICIPAL;225;NO; ;Vicálvaro;Casco histórico de Vicálvaro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
C MINERVA CON C AURORA BOREAL;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;226;NO; ;Vicálvaro;Valderrivas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
BULEVAR INDALECIO PRIETO;CEREZOS; ;227;NO; ;Vicálvaro;Valdebernardo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
Avenida Miguel Delibes-Mario Moreno Cantinflas;CEREZOS; ;228;NO; ;Vicálvaro;El Cañaveral;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE LA VILLA DE CANILLEJAS;CEREZOS;2 CEREZOS, UNO COLOR CHAMPAN Y OTRO COLOR ORO;229;NO; ;San Blas - Canillejas;Canillejas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA MAYOR DE CIUDAD PEGASO;CEREZOS; ;230;NO; ;San Blas - Canillejas;Rejas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV ARCENTALES;CEREZOS;JM DE SAN BLAS-CANILLEJAS;231;NO; ;San Blas - Canillejas;Rosas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE LA ERMITA DE LA VIRGEN DE LA SOLEDAD;CEREZOS;2 CEREZOS, UNO COLOR PLATA Y OTRO COLOR CHAMPAN. EN LA ZONA ESTANCIAL DE LA ISLETA;232;NO; ;Barajas;Aeropuerto;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
MADRID RIO - GLORIETA DE SAN VICENTE;ABETO;35 METROS DE ALTURA. DISEÑO CON TRIANGULOS -;233;NO;DEVOTA & LOMBA;Centro, Moncloa - Aravaca;Palacio;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;La geometría y la papiroflexia son protagonistas de este diseño, señas de identidad de la marca dirigida por Modesto Lomba. Muchas texturas para que parezca un abeto de verdad y metacrilato que simula la nieve
PLAZA DE ESPAÑA;ABETO;ABETO NATURAL;234;NO;DM;Moncloa - Aravaca;Argüelles;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;Gran abeto natural de 19 metros de altura, adornado con 800 bolas y 200 caramelos
PARQUE DEL RETIRO - AV DE MEJICO;CEREZOS;4 CEREZOS;235;NO; ;Retiro;Los Jerónimos;PUNTUAL;;4;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PERIMETRO ESTANQUE;CEREZOS; ;236;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PERIMETRO ESTANQUE;CEREZOS;6 CEREZOS. ZONA TRASERA DEL MONUMENTO;237;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PERIMETRO ESTANQUE;CEREZOS; ;238;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PERIMETRO ESTANQUE;CEREZOS; 4 CEREZOS, COLOR 2 BLANCO Y 2 MORADO;239;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PASEO ARGENTINA;CADENETAS;CADENETAS BOMBILLAS COLOR ROJO;240;NO; ;Retiro;Los Jerónimos;LINEAL;585;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PARQUE DEL RETIRO - AV DE MEJICO;CADENETAS;ARBOLES CON CORDON LUMINOSO DE COLOR ROJO;242;NO; ;Retiro;Los Jerónimos;LINEAL;328;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PARQUE DEL RETIRO - PUERTA DE ESPAÑA;MOTIVO NAVIDEÑO;BELEN;244;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
FUENTE DE CIBELES;MOTIVO NAVIDEÑO;ILUMINACION BANDERA DE ESPAÑA;245;NO; ;Centro, Retiro, Salamanca;Los Jerónimos;LINEAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
FUENTE DE NEPTUNO;MOTIVO NAVIDEÑO;ILUMINACION BANDERA DE ESPAÑA;246;NO; ;Centro;Cortes;LINEAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ENTRADA PLAZA MAYOR POR C 7 DE JULIO;MOTIVO NAVIDEÑO;NACIMIENTO;247;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ENTRADA PLAZA MAYOR POR C FELIPE III;MOTIVO NAVIDEÑO;NACIMIENTO;248;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ENTRADA PLAZA MAYOR POR  C SAL;MOTIVO NAVIDEÑO;NACIMIENTO;249;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ENTRADA PLAZA MAYOR POR C GERONA;MOTIVO NAVIDEÑO;NACIMIENTO;251;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ENTRADA PLAZA MAYOR POR C TOLEDO;MOTIVO NAVIDEÑO;NACIMIENTO;252;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PASEO DEL PRADO (DE CIBELES A NEPTUNO);CADENETAS;CORDON DE BOMBILLAS;253;NO; ;Centro, Retiro;Cortes, Los Jerónimos;LINEAL;373;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO DEL PRADO, ENTRE PLAZA DE NEPTUNO Y GLORIETA DEL EMPERADOR CARLOS V;CADENETAS;CORDON DE BOMBILLAS, EN EL LADO DEL ARBOLADO DEL BULEVAR CENTRAL;254;NO; ;Centro, Retiro;Cortes, Los Jerónimos;LINEAL;606;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO DE RECOLETOS - CALZADA (DE CIBELES A COLON);CADENETAS;HILO LUMINOSO;255;NO; ;Centro, Retiro;Cortes, Los Jerónimos;LINEAL;562;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PARQUE DEL RETIRO - PERIMETRO ESTANQUE;CEREZOS;16 CEREZOS, VARIOS COLORES;257;NO; ;Retiro;Los Jerónimos;PUNTUAL;;4;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
