POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
PLAZA DE LIMA;CADENETAS;HILO LUMINOSO VERTICAL;83;NO; ;Chamartín, Tetuán;El Viso;LINEAL;355;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
BRAVO MURILLO;ARCOS COMPACTOS;NUBES Y DISCOS DE COLORES;84;SI; ;Tetuán;Cuatro Caminos;LINEAL;972;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE CUATRO CAMINOS;MOTIVO NAVIDEÑO;FLORES LUMINOSAS;85;NO; ;Tetuán, Chamberí;Bellas Vistas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE ESPAÑA;MOTIVO NAVIDEÑO;NACIMIENTO, VARIAS FIGURAS: MISTRIO, PASTORES, REYES Y CAMELLOS;86;NO; ;Moncloa - Aravaca;Argüelles;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PUENTE DE TOLEDO, TRAMO PROXIMO A GTA MARQUES DE VADILLO;ARCOS COMPACTOS;ARCOS REGALO, 5 ELEMENTOS;87;NO; ;Carabanchel;Comillas;LINEAL;103;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PRINCESA - DE ALBERTO AGUILERA A ROMERO ROBLEDO;ARCOS COMPACTOS;MOTIVO DE TARTAN BUFANDA;88;NO;SERGIO SEBASTIAN;Chamberí, Moncloa - Aravaca;Argüelles;LINEAL;292;;AG OBRAS Y EQUIPAMIENTOS;ARCOS CON MOTIVO TYARTAN BUFANDA DE 12X2M8 METROS CON ILUMINACION DE HILO BLANCO DE 2,41 W/M, CORDONES LUMINUOSOS DE LEDS DE 6,75 W/CORDNO Y METACRILATOS DE COLORES
PUERTA DE SAN VICENTE;MOTIVO NAVIDEÑO;BELEN;89;NO; ;Centro, Moncloa - Aravaca;Casa de Campo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DEL EMPERADOR CARLOS V;MOTIVO NAVIDEÑO;CONJUNTO DE 3 RENOS;90;NO; ;Centro, Retiro;Embajadores;PUNTUAL;;3;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
C ANTONIO LOPEZ, ENTRE GLORIETA DE NARQUES DE VADILLO Y PSO DE SANTAMARIA DE LA CABEZA;ARCOS COMPACTOS;TRUENO;91;NO; ;Carabanchel;Comillas;LINEAL;858;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GENERAL RICARDOS, ENTRE GLORIETA MARQUES DE VADILLO Y C EL TOBOSO;ARCOS COMPACTOS;NEBLINA AZUL;92;NO; ;Carabanchel;Opañel;LINEAL;871;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
C CAMINO VIEJO DE LEGANES, ENTRE C OPORTO Y C CLARA CAMPOAMOR;COLGANTES;CUBOS;93;NO; ;Carabanchel;Abrantes;LINEAL;836;;AG OBRAS Y EQUIPAMIENTOS;CUBOS DE COLORES DE 1,3 1,15 O 1,0 METROS DE ARISTA CON CORDONES DE COLORES AZUL, ROSA, VERDE, BLANCO, AMARILLO O ROJO
C MARCELO USERA, ENTRE C ALMENDRALES Y C RAFAELA YBARRA;ARCOS COMPACTOS;PAÑOS O NEBLINA;94;NO; ;Usera;Pradolongo;LINEAL;1010;;AG OBRAS Y EQUIPAMIENTOS;PAÑOS BLANCOS DE 3 METROS DE ANCHO POR 1,5 METROS DE ALTURA, CON ILUMINACION POR MEDIO DE CORTINA LEDS DE 1.425 PUNTOS CON UNA POTENCIA DE 125 W
AVDA ALBUFERA;ARCOS COMPACTOS;POMPAS Y CIRCULOS;95;SI; ;Puente de Vallecas;Palomeras Bajas;LINEAL;1187;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
C PEDRO LABORDE, ENTRE AV ALBUFERA Y C SIERRA SALVADA;ARCOS COMPACTOS;CORTINA CON ESTERLLAS;96;NO; ;Puente de Vallecas;Portazgo;LINEAL;508;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
MIERES;ARCOS COMPACTOS;TAPICES;97;NO; ;San Blas - Canillejas;Simancas;LINEAL;97;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
