ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION,MODELO
5182921,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182926,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,29,28030,2019-06-13 00:00:00.0,ACB
5182927,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,29,28030,2019-06-13 00:00:00.0,ACB
528424,Aparcabicicletas,136,NUMANCIA,13,PUENTE DE VALLECAS,OPERATIVO,CALLE,EL BOSCO,22,28038,1900-01-01 00:00:00.0,MU-51
5180199,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,CALLE,FELIPE V,2,28013,2013-08-15 00:00:00.0,MU-51
5182642,Aparcabicicletas,62,CUATRO CAMINOS,6,TETUAN,OPERATIVO,PLAZA,MANUEL GOMEZ-MORENO,1,28020,,MU-51
5182689,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,AVENIDA,DAROCA,91,28017,2019-07-12 00:00:00.0,MU-51
5182893,Aparcabicicletas,143,MARROQUINA,14,MORATALAZ,OPERATIVO,CALLE,CAMINO DE LOS VINATEROS,73,28030,2019-06-13 00:00:00.0,ACB
5182895,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,CALLE,ARRIAGA,73,28017,2019-07-12 00:00:00.0,MU-51
5182901,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182905,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182909,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182912,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182922,Aparcabicicletas,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,CALLE,ARROYO DE LA MEDIA LEGUA,31,28030,2019-06-13 00:00:00.0,ACB
5182928,Aparcabicicletas,143,MARROQUINA,14,MORATALAZ,OPERATIVO,AVENIDA,MORATALAZ,187,28030,2019-06-13 00:00:00.0,MU-51
5182930,Aparcabicicletas,143,MARROQUINA,14,MORATALAZ,OPERATIVO,AVENIDA,MORATALAZ,187,28030,2019-06-13 00:00:00.0,MU-51
5182934,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,CALLE,ARRIAGA,73,28017,2019-04-09 00:00:00.0,MU-51
5183136,Aparcabicicletas,53,CIUDAD JARDIN,5,CHAMARTIN,OPERATIVO,CALLE,PRADILLO,30,28002,,MU-51
5197253,Aparcabicicletas,65,VALDEACEDERAS,6,TETUAN,OPERATIVO,CALLE,BRAVO MURILLO,289,28020,2019-10-01 00:00:00.0,MU-51
5197254,Aparcabicicletas,65,VALDEACEDERAS,6,TETUAN,OPERATIVO,CALLE,BRAVO MURILLO,289,28020,2019-10-01 00:00:00.0,MU-51
5204274,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,SAN GREGORIO,17,28004,2019-08-12 00:00:00.0,MU-51
5211158,Aparcabicicletas,73,TRAFALGAR,7,CHAMBERI,OPERATIVO,CALLE,SANTA ENGRACIA,43,28010,2019-11-08 00:00:00.0,MU-51
5211416,Aparcabicicletas,25,DELICIAS,2,ARGANZUELA,OPERATIVO,CALLE,JUAN DE MARIANA,17B,28045,,MU-51
5211417,Aparcabicicletas,25,DELICIAS,2,ARGANZUELA,OPERATIVO,CALLE,JUAN DE MARIANA,17B,28045,,MU-51
5211419,Aparcabicicletas,25,DELICIAS,2,ARGANZUELA,OPERATIVO,CALLE,JUAN DE MARIANA,17B,28045,,MU-51
5213765,Aparcabicicletas,94,VALDEZARZA,9,MONCLOA-ARAVACA,OPERATIVO,CALLE,VALDERREY,9,28035,2019-08-26 00:00:00.0,MU-51
5214353,Aparcabicicletas,53,CIUDAD JARDIN,5,CHAMARTIN,OPERATIVO,AVENIDA,ALFONSO XIII,23,28002,1900-01-01 00:00:00.0,MU-51
5214356,Aparcabicicletas,53,CIUDAD JARDIN,5,CHAMARTIN,OPERATIVO,CALLE,LUIS LARRAINZA,57,28002,1900-01-01 00:00:00.0,MU-51
5214360,Aparcabicicletas,53,CIUDAD JARDIN,5,CHAMARTIN,OPERATIVO,CALLE,LUIS LARRAINZA,57,28002,1900-01-01 00:00:00.0,MU-51
5214362,Aparcabicicletas,53,CIUDAD JARDIN,5,CHAMARTIN,OPERATIVO,CALLE,LUIS LARRAINZA,57,28002,1900-01-01 00:00:00.0,MU-51
5217925,Aparcabicicletas,73,TRAFALGAR,7,CHAMBERI,OPERATIVO,CALLE,SANTA ENGRACIA,11,28010,2019-12-30 00:00:00.0,MU-51
5217935,Aparcabicicletas,73,TRAFALGAR,7,CHAMBERI,OPERATIVO,CALLE,LUCHANA,15,28010,2019-12-26 00:00:00.0,MU-51
5226484,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,SAN FRANCISCO,1,28005,2019-12-10 00:00:00.0,MU-51
5226490,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,CALLE,AGUAS,12,28005,2019-12-10 00:00:00.0,MU-51
5226495,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,6,28005,2019-12-10 00:00:00.0,MU-51
5226496,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,CARRERA,SAN FRANCISCO,1,28005,2019-12-10 00:00:00.0,MU-51
5226499,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,5,28005,2019-12-10 00:00:00.0,MU-51
5226507,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,4,28005,2019-12-10 00:00:00.0,MU-51
5226510,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,8,28005,2019-12-10 00:00:00.0,MU-51
5226522,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,CEBADA,1,28005,2019-12-10 00:00:00.0,MU-51
5226523,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,CEBADA,1,28005,2019-12-10 00:00:00.0,MU-51
5226527,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,CALLE,TOLEDO,59,28005,2019-12-10 00:00:00.0,MU-51
5226529,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,CALLE,TOLEDO,59,28005,2019-12-10 00:00:00.0,MU-51
5226530,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,PLAZA,CASCORRO,23,28005,2019-12-10 00:00:00.0,MU-51
5226539,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,CALLE,DUQUE DE ALBA,12,28012,2019-12-10 00:00:00.0,MU-51
5226562,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,CALLE,MAGDALENA,40,28012,2019-12-10 00:00:00.0,MU-51
5226563,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,CARRERA,SAN FRANCISCO,13,28005,2019-12-10 00:00:00.0,MU-51
5226567,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,PLAZA,TIRSO DE MOLINA,12,28012,2019-12-10 00:00:00.0,MU-51
5239379,Aparcabicicletas,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,AVENIDA,Avenida de las Fuerzas Armadas,11,28055,,MU-51
5239383,Aparcabicicletas,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,AVENIDA,Avenida de las Fuerzas Armadas,11,28055,,MU-51
5239384,Aparcabicicletas,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,AVENIDA,Avenida de las Fuerzas Armadas,11,28055,,MU-51
5241192,Aparcabicicletas,142,HORCAJO,14,MORATALAZ,OPERATIVO,AVENIDA,Avenida del Doctor Garcia Tapia,125,28030,,AP-2
4982179,Aparcabicicletas,132,SAN DIEGO,13,PUENTE DE VALLECAS,OPERATIVO,CALLE,SIERRA CARBONERA,74,28053,2018-10-26 00:00:00.0,ACB
4982187,Aparcabicicletas,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,CALLE,CONGOSTO,35,28031,2018-10-29 00:00:00.0,MU-51
4982191,Aparcabicicletas,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,CALLE,CONGOSTO,35,28031,2018-10-29 00:00:00.0,MU-51
5476049,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-38
5476053,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-38
5476074,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-51
5476086,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-51
5476103,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-38
5476107,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-38
5476111,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,PASEO,Paseo Puerta del Angel,1,28011,,MU-38
4985724,Aparcabicicletas,72,ARAPILES,7,CHAMBERI,OPERATIVO,CALLE,VALLEHERMOSO,26,28015,2018-11-20 00:00:00.0,MU-51
4986038,Aparcabicicletas,97,ARAVACA,9,MONCLOA-ARAVACA,OPERATIVO,CALLE,HUMERA,40,28023,2021-08-11 00:00:00.0,MU-51
4988194,Aparcabicicletas,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,OPERATIVO,AVENIDA,VENTISQUERO DE LA CONDESA,2,28035,2021-08-12 00:00:00.0,MU-51
4990375,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,HERNAN CORTES,15,28004,2018-07-30 00:00:00.0,MU-51
4990379,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,HERNAN CORTES,1,28004,2018-07-30 00:00:00.0,MU-51
4990383,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,FARMACIA,16,28004,2018-07-30 00:00:00.0,MU-51
4990384,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,FARMACIA,16,28004,2018-07-30 00:00:00.0,MU-51
5552101,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,,,,28005,,MU-51
5552113,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,,,,28005,,MU-51
5552148,Aparcabicicletas,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552165,Aparcabicicletas,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552167,Aparcabicicletas,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552224,Aparcabicicletas,125,MOSCARDO,12,USERA,OPERATIVO,,,,28005,,MU-51
5552251,Aparcabicicletas,125,MOSCARDO,12,USERA,OPERATIVO,,,,28005,,MU-51
5552271,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552273,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552285,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552295,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552302,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552308,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552392,Aparcabicicletas,101,LOS CARMENES,10,LATINA,OPERATIVO,,,,28005,,MU-51
4990438,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,AUGUSTO FIGUEROA,35,28004,2018-07-30 00:00:00.0,MU-51
4990445,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,AUGUSTO FIGUEROA,36A,28004,2018-07-30 00:00:00.0,MU-51
4990453,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,SAN MARCOS,33,28004,2018-07-30 00:00:00.0,MU-51
4990466,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,COSTANILLA,CAPUCHINOS,2,28004,2018-07-30 00:00:00.0,MU-51
