PK,NOMBRE,TIPO,EQUIPAMIENTO,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,CODIGO-POSTAL,BARRIO,DISTRITO
4671014,Instalación Deportiva Municipal Básica Parque Plata y Castañar,Instalación Deportiva,2 Pistas de baloncesto2 Pistas de fútbol sala4 Pistas de petanca3 Pistas de chito,"Bus: 22 , 76 , 79",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=009349ad8bcc5110VgnVCM1000000b205a0aRCRD,"LOS FERROVIARIOS, s/n",PASEO,28021,SAN ANDRES,VILLAVERDE
4564008,Instalación Deportiva Municipal Básica Parque Rafael Finat,Instalación Deportiva,1 Pista de patinaje,"Bus: 17, 117 , 139 , 155Cercanías Renfe: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul) (línea C5)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b44da2d7fe222110VgnVCM1000000b205a0aRCRD,"DAMASQUILLO, 1",CALLE,28044,LAS AGUILAS,LATINA
4556430,Instalación Deportiva Municipal Básica Parque San Blas,Instalación Deportiva,1 Circuito de footing2 Pistas de Chito,"Metro: SimancasBus: 28 , 38 , 48 , 153",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=68038bbd894e1110VgnVCM1000000b205a0aRCRD,"ALBAIDA, S/N",CALLE,28037,HELLIN,SAN BLAS-CANILLEJAS
4543839,Instalación Deportiva Municipal Básica Parque San Luciano,Instalación Deportiva,1 Pista de fútbol sala,"Metro: Ciudad de los ÁngelesBus: 76, 116",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86af01d115471110VgnVCM1000000b205a0aRCRD,"SAN LUCIANO, 12",CALLE,28041,LOS ANGELES,VILLAVERDE
4541916,Instalación Deportiva Municipal Básica Parque Santa Adela,Instalación Deportiva,Pistas de baloncesto cubierta.,"Metro: Parque de Santa MaríaBus: 9 , 107 , 125",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=302e9b165e961110VgnVCM1000000b205a0aRCRD,"SANTA ADELA, 14",CALLE,28033,PINAR DEL REY,HORTALEZA
4564041,Instalación Deportiva Municipal Básica Parque Sector Surbatán,Instalación Deportiva,1 Pista de patinaje 2 Pistas de bolos y petanca,"Metro: LuceroBus: 31 , 138",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d640713fdf222110VgnVCM1000000b205a0aRCRD,"SEPULVEDA C.V. A CALLE CEBREROS, 206",CALLE,28011,LUCERO,LATINA
6300744,Instalación Deportiva Municipal Básica Parque Supermanzana 7,Instalación Deportiva,1 Pista polideportiva,"Metro: FuencarralBus: 124, 133, 67, 83",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70c840a4a8915310VgnVCM2000000c205a0aRCRD,"FERMIN CABALLERO, 25",CALLE,28034,LA PAZ,FUENCARRAL-EL PARDO
4554591,Instalación Deportiva Municipal Básica Parque Tanatorio (Salvador Madariaga),Instalación Deportiva,1 Frontón1 Pista de baloncesto,"Metro: Barrio de la ConcepciónBus: 11 , 21 , 48 , 53 , 122 , 146.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b401ee4851bd1110VgnVCM1000000b205a0aRCRD,SALVADOR DE MADARIAGA,CALLE,28027,SAN PASCUAL,CIUDAD LINEAL
4548199,Instalación Deportiva Municipal Básica Parque Z,Instalación Deportiva,1 Pista de patinaje 2 Tenis de mesa,"Metro: VinaterosBus: 30 , 32 , 71.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4da0234542891110VgnVCM2000000c205a0aRCRD,"MARROQUINA, 88",CALLE,28030,MARROQUINA,MORATALAZ
4548746,Instalación Deportiva Municipal Básica Parque de Atenas,Instalación Deportiva,1 Pista polideportiva,"Bus: 25 , 31 , 33 , 36 , 39 , 41 , 50 , 65 , 138 , C",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e342099aac91110VgnVCM2000000c205a0aRCRD,"VIRGEN DEL PUERTO, 3",PASEO,28005,PALACIO,CENTRO
4547247,Instalación Deportiva Municipal Básica Parque de Berlín,Instalación Deportiva,2 pistas de baloncesto transversales. 1 pista de polideportiva con marcajes de fútbol-sala. 1 pista de chito.,"Metro: Concha Espina , Alfonso XIIIBus:  9 , 16 , 29 , 43 , 52 , 73 , 120",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7e0a56363291110VgnVCM1000000b205a0aRCRD,"MARCENADO, 51",CALLE,28002,CIUDAD JARDIN,CHAMARTIN
4543052,Instalación Deportiva Municipal Básica Parque de Comillas,Instalación Deportiva,Superficie: 5.000 m2  Equipamientos:    1 Campo de fútbol 7 1 Pista de fútbol sala 1 Pista polideportiva (con marcajes de baloncesto y voley) 2 Pistas de bolos y petanca 2 Tenis de mesa,"Metro: Marqués de VadilloBus: 34 , 35 , 116 , 118 , 119.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=72d28f82f7f61110VgnVCM1000000b205a0aRCRD,"ANTONIO DE LEYVA, 35",CALLE,28019,COMILLAS,CARABANCHEL
4531216,Instalación Deportiva Municipal Básica Parque de Roma I,Instalación Deportiva,1 Pista de baloncesto. 1 Pista de fútbol sala,"Metro: Sáinz de BarandaBus: 15 , 30, 56, 143 , 156 , 202 , 215.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=541c2de56ac01110VgnVCM1000000b205a0aRCRD,"JUAN ESPLANDIU, 4",CALLE,28007,ESTRELLA,RETIRO
