PK,NOMBRE,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,TIPO
5688632,Instalación Deportiva Municipal Básica Pobladura del Valle,1 Pista polideportiva,"Metro: Simancas, San Blas.Bus: 4, 38, 48.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd2cb2bdf65a8210VgnVCM2000000c205a0aRCRD,POBLADURA DEL VALLE,CALLE,s/n,28037,4,ARCOS,20,SAN BLAS-CANILLEJAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4531342,Instalación Deportiva Municipal Básica Poeta Esteban Villegas,1 pista de patinaje y hockey sobre patines. 1 pista polideportiva de baloncesto (sin medidas reglamentarias) y voleibol. 1 zona de calistenia. 1 zona de juegos infantiles.,"Metro: Atocha Renfe, Menéndez PelayoBus: 10 , 14 , 19 , 24 , 26, 32 , 37 , 54 , 57 , 63 , 141, 152 , CRenfe: Atocha",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b431d9ba71d01110VgnVCM1000000b205a0aRCRD,POETA ESTEBAN DE VILLEGAS,CALLE,4,28014,5,LOS JERONIMOS,3,RETIRO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4546653,Instalación Deportiva Municipal Básica Polígono 20 - Padre Claret,3 Pistas de fútbol sala.,"Metro: Alfonso XIIIBus: 9 , 40 , 43 , 72 , 73",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f04524a6bcd81110VgnVCM1000000b205a0aRCRD,PADRE CLARET,CALLE,18,28002,2,PROSPERIDAD,5,CHAMARTIN,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4557627,Instalación Deportiva Municipal Básica Polígono de las Rosas,2 Pistas de baloncesto2 Pistas de fútbol sala,"Bus: 38 , 140",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce2dad35d7ae1110VgnVCM1000000b205a0aRCRD,HELSINKI,CALLE,8,28022,5,ROSAS,20,SAN BLAS-CANILLEJAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4550112,Instalación Deportiva Municipal Básica Polígono de África,1 Campo de fútbol 7,"Bus: 4 , 38 , 48 , 70 , 106 , 109.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff421e23082a1110VgnVCM1000000b205a0aRCRD,VILLAESCUSA,CALLE,56,28017,2,PUEBLO NUEVO,15,CIUDAD LINEAL,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
6218289,Instalación Deportiva Municipal Básica Pradillo,Pista de Fútbol 7 (césped artificial),"Metro: Concha Espina , Alfonso XIIIBus: 9 , 16 , 29 , 40 , 43 , 52 , 72 , 73 , 120",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76e69a58c3763310VgnVCM1000000b205a0aRCRD,PRADILLO,CALLE,23,28002,3,CIUDAD JARDIN,5,CHAMARTIN,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4554394,Instalación Deportiva Municipal Básica Pueblo Nuevo II,1 Pista de fútbol sala2 Pista de baloncesto,"Metro: AscaoBus: 4 , 28 , 38 , 48 , 70 , 105 , 109",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bca91c7eebad1110VgnVCM1000000b205a0aRCRD,ASCAO,CALLE,,28017,2,PUEBLO NUEVO,15,CIUDAD LINEAL,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4549863,Instalación Deportiva Municipal Básica Puente Ventas,1 Pista polideportiva,"Metro: El Carmen , VentasBus: 12 , 21 , 38 , 48 , 53 , 74 , 106 , 110 , 146 , 210.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a25a658e32a1110VgnVCM1000000b205a0aRCRD,VIRGEN DE LA PAZ,CALLE,7 y 9,28027,4,CONCEPCION,15,CIUDAD LINEAL,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4584733,Instalación Deportiva Municipal Básica Puerto Balbarán,1 Pista de baloncesto 1 Circuito de BMX Pump Track 1 Pista de skate 1 Pista de voleibol,"Bus: 57 , 136 , 144Renfe: El Pozo",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d118833dc03c2110VgnVCM1000000b205a0aRCRD,PUERTO DE BALBARAN,CALLE,4,28018,3,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4584467,Instalación Deportiva Municipal Básica Puerto Corlite,1 Campo de mini pitch,"Metro: Buenos AiresBus: 10 , 136 , 310",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b47a7e060c2c2110VgnVCM1000000b205a0aRCRD,PUERTO DE CORLITE,CALLE,7,28018,3,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4538569,Instalación Deportiva Municipal Básica Puerto Lumbreras,Pista de baloncesto,"Metro: Villa de VallecasBus: 54 , 58 , 103 , 142 , 143",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6c59e90c4b41110VgnVCM1000000b205a0aRCRD,PUERTO DE LUMBRERAS,CALLE,0,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4582782,Instalación Deportiva Municipal Básica Puerto Monasterio (cubierta de P.A.R.),2 Pista de baloncesto,"Metro: Nueva NumanciaBus: 10 , 24 , 54 , 57 , 58 , 111 , 136 , 310",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c73894617fcb2110VgnVCM1000000b205a0aRCRD,PUERTO DEL MONASTERIO,CALLE,17,28053,2,SAN DIEGO,13,PUENTE DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4547250,Instalación Deportiva Municipal Básica Puerto Rico,2 Pistas de baloncesto,"Metro: ColombiaBus: 7 , 11 , 16 , 29 , 40 , 51 , 52 , 87 , 150.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dfddf1554291110VgnVCM1000000b205a0aRCRD,PUERTO RICO,CALLE,54,28016,5,NUEVA ESPAÑA,5,CHAMARTIN,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4556411,Instalación Deportiva Municipal Básica Puerto Rico - C.D. Alzola,1 Campo de fútbol 11 de césped artificial,"Bus: 6 , 60 , 131.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25494bb2984e1110VgnVCM1000000b205a0aRCRD,GAINZA,CALLE,20,28041,1,ORCASITAS,12,USERA,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4584508,Instalación Deportiva Municipal Básica Puerto Velate,1 Pista de fútbol sala,"Bus: 10 , 136 , 144 , 310",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e640e4d52d2c2110VgnVCM1000000b205a0aRCRD,PUERTO DE VELATE,CALLE,9,28018,3,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4543988,Instalación Deportiva Municipal Básica Puerto de Béjar,1 Pista de Fútbol-Sala,"Bus: 62 , 88 , 148",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80438004f7471110VgnVCM1000000b205a0aRCRD,PUERTO DE BEJAR,CALLE,7,28045,4,LEGAZPI,2,ARGANZUELA,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4584683,Instalación Deportiva Municipal Básica Puerto de Costabona,1 Pista de fútbol sala 1 Pista de tenis de mesa,"Bus: 57 , 136 , 144 , 310",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=427f3d7dcf2c2110VgnVCM1000000b205a0aRCRD,PUERTO DE COSTABONA,CALLE,7,28018,3,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
7267217,Instalación Deportiva Municipal Básica Pádel - Madrid Las Tablas,"4 pistas de tenis (2 de ellas de césped artificial). 12 pistas de pádel (cristal, 10 de ellas cubiertas).","Metro: Las Tablas Bus: 172, 176",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c33d25f63fb3410VgnVCM1000000b205a0aRCRD,CAMINO DE SANTIAGO,AVENIDA,25,28050,6,VALVERDE,8,FUENCARRAL-EL PARDO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPadel
4557262,Instalación Deportiva Municipal Básica Quinta de Los Molinos I,1 Pista de atletismo1 Patinodromo1 Pista de baloncesto,"Metro: SuancesBus: 77 , 104 , 105",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fb39695ed9e1110VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,"535,c/vAvenida25Septiembre",28027,8,EL SALVADOR,20,SAN BLAS-CANILLEJAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje
