ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48017DP,48017,Bermeo,https://www.wikidata.org/wiki/Q695444,Biscay,https://www.wikidata.org/wiki/Q93366,1.9
1016DP,1016,Bernedo,https://www.wikidata.org/wiki/Q1368822,Álava,https://www.wikidata.org/wiki/Q81801,0
48018DP,48018,Berriatua,https://www.wikidata.org/wiki/Q1228064,Biscay,https://www.wikidata.org/wiki/Q93366,0
48019DP,48019,Berriz,https://www.wikidata.org/wiki/Q747628,Biscay,https://www.wikidata.org/wiki/Q93366,0.44
20023DP,20023,Berrobi,https://www.wikidata.org/wiki/Q1625846,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,3.32
20024DP,20024,Bidania-Goiatz,https://www.wikidata.org/wiki/Q670498,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48020DP,48020,Bilbao,https://www.wikidata.org/wiki/Q8692,Biscay,https://www.wikidata.org/wiki/Q93366,2.17
48021DP,48021,Busturia,https://www.wikidata.org/wiki/Q1242317,Biscay,https://www.wikidata.org/wiki/Q93366,0
1017DP,1017,Campezo/Kanpezu,https://www.wikidata.org/wiki/Q1373973,Álava,https://www.wikidata.org/wiki/Q81801,0
20029DP,20029,Deba,https://www.wikidata.org/wiki/Q1611504,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.92
48901DP,48901,Derio,https://www.wikidata.org/wiki/Q574712,Biscay,https://www.wikidata.org/wiki/Q93366,0.85
48026DP,48026,Dima,https://www.wikidata.org/wiki/Q663530,Biscay,https://www.wikidata.org/wiki/Q93366,0
20069DP,20069,San Sebastián,https://www.wikidata.org/wiki/Q10313,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.93
48027DP,48027,Durango,https://www.wikidata.org/wiki/Q732094,Biscay,https://www.wikidata.org/wiki/Q93366,1.5
48028DP,48028,Ea,https://www.wikidata.org/wiki/Q1228081,Biscay,https://www.wikidata.org/wiki/Q93366,0
20030DP,20030,Eibar,https://www.wikidata.org/wiki/Q496567,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.4
48031DP,48031,Elantxobe,https://www.wikidata.org/wiki/Q735451,Biscay,https://www.wikidata.org/wiki/Q93366,0
1021DP,1021,Elburgo/Burgelu,https://www.wikidata.org/wiki/Q1382246,Álava,https://www.wikidata.org/wiki/Q81801,0
1022DP,1022,Elciego,https://www.wikidata.org/wiki/Q1368834,Álava,https://www.wikidata.org/wiki/Q81801,0.97
20031DP,20031,Elduain,https://www.wikidata.org/wiki/Q767250,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20033DP,20033,Elgeta,https://www.wikidata.org/wiki/Q1639427,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20032DP,20032,Elgoibar,https://www.wikidata.org/wiki/Q1618383,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.58
48032DP,48032,Elorrio,https://www.wikidata.org/wiki/Q1242382,Biscay,https://www.wikidata.org/wiki/Q93366,1.07
1023DP,1023,Elvillar/Bilar,https://www.wikidata.org/wiki/Q1368805,Álava,https://www.wikidata.org/wiki/Q81801,0
48902DP,48902,Erandio,https://www.wikidata.org/wiki/Q913272,Biscay,https://www.wikidata.org/wiki/Q93366,1.62
48033DP,48033,Ereño,https://www.wikidata.org/wiki/Q1242307,Biscay,https://www.wikidata.org/wiki/Q93366,0
48034DP,48034,Ermua,https://www.wikidata.org/wiki/Q1242400,Biscay,https://www.wikidata.org/wiki/Q93366,0.82
20067DP,20067,Errenteria,https://www.wikidata.org/wiki/Q681893,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,2.06
20066DP,20066,Errezil,https://www.wikidata.org/wiki/Q964114,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.71
1046DP,1046,Ribera Alta/Erriberagoitia,https://www.wikidata.org/wiki/Q1633915,Álava,https://www.wikidata.org/wiki/Q81801,0
48079DP,48079,Errigoiti,https://www.wikidata.org/wiki/Q1228030,Biscay,https://www.wikidata.org/wiki/Q93366,0
20034DP,20034,Eskoriatza,https://www.wikidata.org/wiki/Q1633894,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.48
48029DP,48029,Etxebarria,https://www.wikidata.org/wiki/Q648921,Biscay,https://www.wikidata.org/wiki/Q93366,1.91
48030DP,48030,Etxebarria,https://www.wikidata.org/wiki/Q648921,Biscay,https://www.wikidata.org/wiki/Q93366,0
20035DP,20035,Ezkio-Itsaso,https://www.wikidata.org/wiki/Q1110918,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48906DP,48906,Forua,https://www.wikidata.org/wiki/Q679513,Biscay,https://www.wikidata.org/wiki/Q93366,0
48035DP,48035,Fruiz,https://www.wikidata.org/wiki/Q648519,Biscay,https://www.wikidata.org/wiki/Q93366,0
20038DP,20038,Gabiria,https://www.wikidata.org/wiki/Q1639399,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
