ID,CODE,MUNICIPIO,PROVINCIA,2020
48059IdxD,48059,Mañaria,Biscay,28.9
20901IdxD,20901,Mendaro,Gipuzkoa,21.86
48062IdxD,48062,Mendata,Biscay,17.28
48063IdxD,48063,Mendexa,Biscay,19.52
48064IdxD,48064,Meñaka,Biscay,33.47
1039IdxD,1039,Moreda de Álava / Moreda Araba,Álava,38.02
48066IdxD,48066,Morga,Biscay,54.59
48068IdxD,48068,Mundaka,Biscay,61.26
48069IdxD,48069,Mungia,Biscay,31.27
48007IdxD,48007,Munitibar-Arbatzegi Gerrikaitz-,Biscay,44.49
48908IdxD,48908,Murueta,Biscay,57.32
48071IdxD,48071,Muskiz,Biscay,52.82
20057IdxD,20057,Mutiloa,Gipuzkoa,28.23
20056IdxD,20056,Mutriku,Gipuzkoa,26.16
48067IdxD,48067,Muxika,Biscay,49.9
48909IdxD,48909,Nabarniz,Biscay,24.1
1041IdxD,1041,Navaridas,Álava,23.7
20063IdxD,20063,Oiartzun,Gipuzkoa,45.2
1042IdxD,1042,Okondo,Álava,43.44
20058IdxD,20058,Olaberria,Gipuzkoa,50.32
48073IdxD,48073,Ondarroa,Biscay,29.03
20076IdxD,20076,Ordizia,Gipuzkoa,28.42
20905IdxD,20905,Orendain,Gipuzkoa,45.87
20060IdxD,20060,Orexa,Gipuzkoa,9.17
20061IdxD,20061,Orio,Gipuzkoa,19.77
20062IdxD,20062,Ormaiztegi,Gipuzkoa,27.69
48075IdxD,48075,Orozko,Biscay,29.83
48083IdxD,48083,Ortuella,Biscay,33.19
48072IdxD,48072,Otxandio,Biscay,35.53
1043IdxD,1043,Oyón-Oion,Álava,25.68
20059IdxD,20059,Oñati,Gipuzkoa,9.28
20064IdxD,20064,Pasaia,Gipuzkoa,22.2
1044IdxD,1044,Peñacerrada-Urizaharra,Álava,19.67
48077IdxD,48077,Plentzia,Biscay,68.35
48078IdxD,48078,Portugalete,Biscay,30.99
1047IdxD,1047,Ribera Baja/Erribera Beitia,Álava,34.03
1051IdxD,1051,Salvatierra/Agurain,Álava,42.58
1052IdxD,1052,Samaniego,Álava,18.73
1053IdxD,1053,San Millán/Donemiliaga,Álava,58.98
48082IdxD,48082,Santurtzi,Biscay,26.75
20070IdxD,20070,Segura,Gipuzkoa,17.94
48084IdxD,48084,Sestao,Biscay,43.92
48904IdxD,48904,Sondika,Biscay,43.31
48085IdxD,48085,Sopela,Biscay,26.09
48086IdxD,48086,Sopuerta,Biscay,33.46
20065IdxD,20065,Soraluze-Placencia de las Armas,Gipuzkoa,20.23
48076IdxD,48076,Sukarrieta,Biscay,161.85
20071IdxD,20071,Tolosa,Gipuzkoa,52.75
48087IdxD,48087,Trucios-Turtzioz,Biscay,17.41
48088IdxD,48088,Ubide,Biscay,17.14
48065IdxD,48065,Ugao-Miraballes,Biscay,27.55
48089IdxD,48089,Urduliz,Biscay,39.7
48074IdxD,48074,Urduña/Orduña,Biscay,37.33
1054IdxD,1054,Urkabustaiz,Álava,21.39
20072IdxD,20072,Urnieta,Gipuzkoa,28.43
20077IdxD,20077,Urretxu,Gipuzkoa,34.1
20073IdxD,20073,Usurbil,Gipuzkoa,36.61
1055IdxD,1055,Valdegovía/Gaubea,Álava,23.79
48080IdxD,48080,Valle de Trápaga-Trapagaran,Biscay,47.76
20075IdxD,20075,Villabona,Gipuzkoa,24.5
1057IdxD,1057,Villabuena de Álava/Eskuernaga,Álava,31.36
1059IdxD,1059,Vitoria-Gasteiz,Álava,31.52
1060IdxD,1060,Yécora/Iekora,Álava,15.09
48095IdxD,48095,Zaldibar,Biscay,31.92
20078IdxD,20078,Zaldibia,Gipuzkoa,23.68
1061IdxD,1061,Zalduondo,Álava,4.98
48096IdxD,48096,Zalla,Biscay,34.07
1062IdxD,1062,Zambrana,Álava,22.62
48905IdxD,48905,Zamudio,Biscay,58.14
48097IdxD,48097,Zaratamo,Biscay,56.5
20079IdxD,20079,Zarautz,Gipuzkoa,28.89
48024IdxD,48024,Zeanuri,Biscay,24.12
48025IdxD,48025,Zeberio,Biscay,26.83
20025IdxD,20025,Zegama,Gipuzkoa,18.19
20026IdxD,20026,Zerain,Gipuzkoa,39.71
20027IdxD,20027,Zestoa,Gipuzkoa,32.31
48913IdxD,48913,Zierbena,Biscay,88.1
1018IdxD,1018,Zigoitia,Álava,44.14
48915IdxD,48915,Ziortza-Bolibar,Biscay,27.71
20028IdxD,20028,Zizurkil,Gipuzkoa,18.79
1063IdxD,1063,Zuia,Álava,32.29
20081IdxD,20081,Zumaia,Gipuzkoa,16.56
20080IdxD,20080,Zumarraga,Gipuzkoa,31.78
