ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48019IdxD,48019,Berriz,https://www.wikidata.org/wiki/Q747628,Biscay,https://www.wikidata.org/wiki/Q93366,28.03
20023IdxD,20023,Berrobi,https://www.wikidata.org/wiki/Q1625846,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,44.41
20024IdxD,20024,Bidania-Goiatz,https://www.wikidata.org/wiki/Q670498,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,16.39
48020IdxD,48020,Bilbao,https://www.wikidata.org/wiki/Q8692,Biscay,https://www.wikidata.org/wiki/Q93366,48.61
48021IdxD,48021,Busturia,https://www.wikidata.org/wiki/Q1242317,Biscay,https://www.wikidata.org/wiki/Q93366,33.01
1017IdxD,1017,Campezo/Kanpezu,https://www.wikidata.org/wiki/Q1373973,Álava,https://www.wikidata.org/wiki/Q81801,14.81
20029IdxD,20029,Deba,https://www.wikidata.org/wiki/Q1611504,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,31.96
48901IdxD,48901,Derio,https://www.wikidata.org/wiki/Q574712,Biscay,https://www.wikidata.org/wiki/Q93366,37.65
48026IdxD,48026,Dima,https://www.wikidata.org/wiki/Q663530,Biscay,https://www.wikidata.org/wiki/Q93366,30.89
20069IdxD,20069,San Sebastián,https://www.wikidata.org/wiki/Q10313,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,32.54
48027IdxD,48027,Durango,https://www.wikidata.org/wiki/Q732094,Biscay,https://www.wikidata.org/wiki/Q93366,25.04
48028IdxD,48028,Ea,https://www.wikidata.org/wiki/Q1228081,Biscay,https://www.wikidata.org/wiki/Q93366,44.05
20030IdxD,20030,Eibar,https://www.wikidata.org/wiki/Q496567,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,33.47
48031IdxD,48031,Elantxobe,https://www.wikidata.org/wiki/Q735451,Biscay,https://www.wikidata.org/wiki/Q93366,39.77
1021IdxD,1021,Elburgo/Burgelu,https://www.wikidata.org/wiki/Q1382246,Álava,https://www.wikidata.org/wiki/Q81801,29.41
1022IdxD,1022,Elciego,https://www.wikidata.org/wiki/Q1368834,Álava,https://www.wikidata.org/wiki/Q81801,28.13
20031IdxD,20031,Elduain,https://www.wikidata.org/wiki/Q767250,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,33.06
20033IdxD,20033,Elgeta,https://www.wikidata.org/wiki/Q1639427,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,31.08
20032IdxD,20032,Elgoibar,https://www.wikidata.org/wiki/Q1618383,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.28
48032IdxD,48032,Elorrio,https://www.wikidata.org/wiki/Q1242382,Biscay,https://www.wikidata.org/wiki/Q93366,14.48
1023IdxD,1023,Elvillar/Bilar,https://www.wikidata.org/wiki/Q1368805,Álava,https://www.wikidata.org/wiki/Q81801,28.65
48902IdxD,48902,Erandio,https://www.wikidata.org/wiki/Q913272,Biscay,https://www.wikidata.org/wiki/Q93366,37.21
48033IdxD,48033,Ereño,https://www.wikidata.org/wiki/Q1242307,Biscay,https://www.wikidata.org/wiki/Q93366,29.09
48034IdxD,48034,Ermua,https://www.wikidata.org/wiki/Q1242400,Biscay,https://www.wikidata.org/wiki/Q93366,24.57
20067IdxD,20067,Errenteria,https://www.wikidata.org/wiki/Q681893,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,32.45
20066IdxD,20066,Errezil,https://www.wikidata.org/wiki/Q964114,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,11.61
1046IdxD,1046,Ribera Alta/Erriberagoitia,https://www.wikidata.org/wiki/Q1633915,Álava,https://www.wikidata.org/wiki/Q81801,32.79
48079IdxD,48079,Errigoiti,https://www.wikidata.org/wiki/Q1228030,Biscay,https://www.wikidata.org/wiki/Q93366,34.76
20034IdxD,20034,Eskoriatza,https://www.wikidata.org/wiki/Q1633894,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,20.4
48029IdxD,48029,Etxebarri,https://www.wikidata.org/wiki/Q1228107,Biscay,https://www.wikidata.org/wiki/Q93366,22.35
48030IdxD,48030,Etxebarria,https://www.wikidata.org/wiki/Q648921,Biscay,https://www.wikidata.org/wiki/Q93366,28.89
20035IdxD,20035,Ezkio-Itsaso,https://www.wikidata.org/wiki/Q1110918,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,36.16
48906IdxD,48906,Forua,https://www.wikidata.org/wiki/Q679513,Biscay,https://www.wikidata.org/wiki/Q93366,35.09
48035IdxD,48035,Fruiz,https://www.wikidata.org/wiki/Q648519,Biscay,https://www.wikidata.org/wiki/Q93366,52.35
20038IdxD,20038,Gabiria,https://www.wikidata.org/wiki/Q1639399,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,15.38
20037IdxD,20037,Gaintza,https://www.wikidata.org/wiki/Q1633877,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,16.39
48036IdxD,48036,Galdakao,https://www.wikidata.org/wiki/Q1227388,Biscay,https://www.wikidata.org/wiki/Q93366,32.21
48037IdxD,48037,Galdames,https://www.wikidata.org/wiki/Q738717,Biscay,https://www.wikidata.org/wiki/Q93366,60.57
48038IdxD,48038,Gamiz-Fika,https://www.wikidata.org/wiki/Q1228072,Biscay,https://www.wikidata.org/wiki/Q93366,29.2
48039IdxD,48039,"Garai, Biscay",https://www.wikidata.org/wiki/Q732806,Biscay,https://www.wikidata.org/wiki/Q93366,9.35
48040IdxD,48040,Gatika,https://www.wikidata.org/wiki/Q611647,Biscay,https://www.wikidata.org/wiki/Q93366,31.34
