ID,CODE,MUNICIPIO,PROVINCIA,2020
48085DP,48085,Sopela,Biscay,1.66
48086DP,48086,Sopuerta,Biscay,0
20065DP,20065,Soraluze-Placencia de las Armas,Gipuzkoa,1.04
48076DP,48076,Sukarrieta,Biscay,0
20071DP,20071,Tolosa,Gipuzkoa,1.27
48087DP,48087,Trucios-Turtzioz,Biscay,0
48088DP,48088,Ubide,Biscay,0
48065DP,48065,Ugao-Miraballes,Biscay,1.22
48089DP,48089,Urduliz,Biscay,0
48074DP,48074,Orduña-Urduña,Biscay,0.24
1054DP,1054,Urkabustaiz,Álava,0
20072DP,20072,Urnieta,Gipuzkoa,1.13
20077DP,20077,Urretxu,Gipuzkoa,1.02
20073DP,20073,Usurbil,Gipuzkoa,0.98
1055DP,1055,Valdegovía/Gaubea,Álava,0
48080DP,48080,Valle de Trápaga-Trapagaran,Biscay,1.02
20075DP,20075,Villabona,Gipuzkoa,1.22
1057DP,1057,Villabuena de Álava/Eskuernaga,Álava,0
1059DP,1059,Vitoria-Gasteiz,Álava,1.53
1060DP,1060,Yécora/Iekora,Álava,0
48095DP,48095,Zaldibar,Biscay,0
20078DP,20078,Zaldibia,Gipuzkoa,0
1061DP,1061,Zalduondo,Álava,0
48096DP,48096,Zalla,Biscay,0.84
1062DP,1062,Zambrana,Álava,0
48905DP,48905,Zamudio,Biscay,0
48097DP,48097,Zaratamo,Biscay,0
20079DP,20079,Zarautz,Gipuzkoa,1.68
48024DP,48024,Zeanuri,Biscay,0
48025DP,48025,Zeberio,Biscay,0.93
20025DP,20025,Zegama,Gipuzkoa,0
20026DP,20026,Zerain,Gipuzkoa,3.58
20027DP,20027,Zestoa,Gipuzkoa,0.26
48913DP,48913,Zierbena,Biscay,1.32
1018DP,1018,Zigoitia,Álava,0.55
48915DP,48915,Ziortza-Bolibar,Biscay,0
20028DP,20028,Zizurkil,Gipuzkoa,0
1063DP,1063,Zuia,Álava,0
20081DP,20081,Zumaia,Gipuzkoa,1.3
20080DP,20080,Zumarraga,Gipuzkoa,1.56
