﻿ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;USO;MODELO
530057;Fuentes de beber;152;PUEBLO NUEVO;15;CIUDAD LINEAL;OPERATIVO;40,43447326;-3,64119246;CALLE;GOMEZ DE AVELLANEDA;37;28017;CV CALLE VICENTE ESPINEL;PERSONAS Y MASCOTAS;MIXTA ESTELA
530299;Fuentes de beber;205;ROSAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;40,42996189;-3,6068272;AVENIDA;NIZA;37;28022;PRÓXIMO JULIA GRACIA BOUTAN ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA ESTELA
530402;Fuentes de beber;135;PORTAZGO;13;PUENTE DE VALLECAS;OPERATIVO;40,38622798;-3,64778675;CALLE;TANGER;2;28018;En zona canina Parque C/ Tánger, 2 cv C/Guillermo Pingarrón;MASCOTAS;BEBEDERO CANINO
530413;Fuentes de beber;132;SAN DIEGO;13;PUENTE DE VALLECAS;OPERATIVO;40,38415604;-3,66788852;CALLE;DOCTOR BELLIDO;23;28018;Calle  Doctor Bellido con Puerto de la Morcuera  (Zona canina);MASCOTAS;BEBEDERO CANINO
530455;Fuentes de beber;145;FONTARRON;14;MORATALAZ;OPERATIVO;40,40551627;-3,65281598;AVENIDA;MORATALAZ;60;28030;JUNTO ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA ESTELA
530660;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,37447152;-3,70868103;PARQUE;PRADOLONGO;;28041;JUNTO FUENTE CIRCULAR PARQUE PRADOLONGO;PERSONAS Y MASCOTAS;MIXTA ESTELA
530661;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,37836195;-3,70142168;CALLE;DOCTOR TOLOSA LATOUR;3;28041;PARQUE DE PRADOLONGO;PERSONAS Y MASCOTAS;MIXTA ESTELA
530420;Fuentes de beber;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;40,37671372;-3,65409346;CALLE;PUERTO DE BALBARAN;135;28018;Parque Novecento (Zona canina);MASCOTAS;BEBEDERO CANINO
530586;Fuentes de beber;117;ABRANTES;11;CARABANCHEL;OPERATIVO;40,3760391;-3,72706978;PARQUE;EMPERATRIZ MARIA DE AUSTRIA;18;28025;Junto área canina;PERSONAS Y MASCOTAS;MIXTA ESTELA
5842993;Fuentes de beber;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;40,38473852;-3,66006801;CALLE;PUERTO DE COSTABONA;9;28018;EN PARQUE PAYASO FOFO FRENTE 9;PERSONAS Y MASCOTAS;MIXTA ESTELA
