ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
5541618,Fuentes de beber,5541618_adress,Madrid,28002,051,EL VISO,05,CHAMARTIN,CALLE,FELIPE CAMPOS,6,OPERATIVO,5541618_geo,40.44301133,-3.67935784,PERSONAS Y MASCOTAS,MIXTA TERRIER
5815155,Fuentes de beber,5815155_adress,Madrid,28022,201,SIMANCAS,20,SAN BLAS - CANILLEJAS,AVENIDA,ARCENTALES,29,OPERATIVO,5815155_geo,40.43463744,-3.61318921,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5843625,Fuentes de beber,5843625_adress,Madrid,28045,024,LEGAZPI,02,ARGANZUELA,AVENIDA,PLANETARIO,18,OPERATIVO,5843625_geo,40.39187585,-3.68572651,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5844560,Fuentes de beber,5844560_adress,Madrid,28028,043,FUENTE DEL BERRO,04,SALAMANCA,CALLE,SANCHO DAVILA,17,NO_OPERATIVO,5844560_geo,40.42738769,-3.66077019,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5845865,Fuentes de beber,5845865_adress,Madrid,28040,093,CIUDAD UNIVERSITARIA,09,MONCLOA - ARAVACA,CALLE,RECTOR ROYO-VILLANOVA,10 C,OPERATIVO,5845865_geo,40.45169239,-3.71447536,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5846927,Fuentes de beber,5846927_adress,Madrid,28034,085,LA PAZ,08,FUENCARRAL-EL PARDO,CALLE,SANGENJO,29,OPERATIVO,5846927_geo,40.485775,-3.70020336,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5847548,Fuentes de beber,5847548_adress,Madrid,28050,086,VALVERDE,08,FUENCARRAL-EL PARDO,PASEO,SAN MILLAN DE LA COGOLLA,14,OPERATIVO,5847548_geo,40.50278962,-3.66792685,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
7127957,Fuentes de beber,7127957_adress,Madrid,28030,143,MARROQUINA,14,MORATALAZ,AVENIDA,MORATALAZ,183,OPERATIVO,7127957_geo,40.40903513,-3.64472284,PERSONAS Y MASCOTAS,MIXTA ESTELA
7127984,Fuentes de beber,7127984_adress,Madrid,28030,146,VINATEROS,14,MORATALAZ,CALLE,HACIENDA DE PAVONES,209,OPERATIVO,7127984_geo,40.4017961,-3.63671794,PERSONAS Y MASCOTAS,MIXTA ESTELA
7130464,Fuentes de beber,7130464_adress,Madrid,28032,193,VALDERRIVAS,19,VICALVARO,CALLE,MINERVA,32,OPERATIVO,7130464_geo,40.39921399,-3.60309551,PERSONAS Y MASCOTAS,MIXTA ESTELA
7805896,Fuentes de beber,7805896_adress,Madrid,28032,193,VALDERRIVAS,19,VICALVARO,CALLE,SAN CIPRIANO,81,OPERATIVO,7805896_geo,40.40201088,-3.59696382,PERSONAS Y MASCOTAS,MIXTA ESTELA
7869825,Fuentes de beber,7869825_adress,Madrid,28018,134,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,AVENIDA,RAFAEL ALBERTI,51,OPERATIVO,7869825_geo,40.38301479,-3.64477347,MASCOTAS,BEBEDERO TERRIER
7889388,Fuentes de beber,7889388_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,PILAR DE MADARIAGA ROJO,13,OPERATIVO,7889388_geo,40.36422384,-3.59058854,PERSONAS Y MASCOTAS,MIXTA ESTELA
7924260,Fuentes de beber,7924260_adress,Madrid,28032,191,CASCO H.VICALVARO,19,VICALVARO,PASEO,POLIDEPORTIVO,144,OPERATIVO,7924260_geo,40.40597408,-3.59586074,PERSONAS Y MASCOTAS,MIXTA ESTELA
