ID,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION
8972291,93,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,40.45155415,-3.71445300,CALLE,RECTOR ROYO-VILLANOVA,10 C,28040,2022-08-01
8972297,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37367217,-3.62876900,CALLE,TINEO,7,28031,2022-08-01
8972302,94,VALDEZARZA,9,MONCLOA-ARAVACA,40.46483914,-3.71683999,CALLE,SAN RESTITUTO,41,28039,2022-08-01
8972307,85,LA PAZ,8,FUENCARRAL-EL PARDO,40.48763113,-3.70320500,AVENIDA,CARDENAL HERRERA ORIA,117,28034,2022-08-01
8972309,95,VALDEMARIN,9,MONCLOA-ARAVACA,40.46652313,-3.78811499,CALLE,ABETO,1,28023,2022-08-01
8972313,103,LUCERO,10,LATINA,40.39943113,-3.75492299,CALLE,SEPULVEDA,218,28011,2022-08-01
8972323,127,PRADOLONGO,12,USERA,40.37769109,-3.70292699,CALLE,DOCTOR TOLOSA LATOUR,14,28026,2022-08-01
8972253,171,VILLAVERDE ALTO C.H.,17,VILLAVERDE,40.35823314,-3.71792499,AUTOVÍA,A-42,7000 EN,28021,2022-08-01
8972259,97,ARAVACA,9,MONCLOA-ARAVACA,40.44742813,-3.78944700,AVENIDA,TALGO,153,28023,2022-08-01
8972263,127,PRADOLONGO,12,USERA,40.37943314,-3.70241500,CALLE,CRISTO DE LA VICTORIA,37 A,28026,2022-08-01
8972266,115,PUERTA BONITA,11,CARABANCHEL,40.37568317,-3.74068099,CALLE,REAL MADRID,26,28025,2022-08-01
8972272,84,EL PILAR,8,FUENCARRAL-EL PARDO,40.47480011,-3.70716799,AVENIDA,EL FERROL,30,28029,2022-08-01
8972274,171,VILLAVERDE ALTO C.H.,17,VILLAVERDE,40.35730416,-3.71755600,CALLE,VERDE VIENTO,69,28021,2022-08-01
8972277,127,PRADOLONGO,12,USERA,40.37791015,-3.70905700,CALLE,CRISTO DE LA VICTORIA,245,28026,2022-08-01
8972283,56,CASTILLA,5,CHAMARTIN,40.47238013,-3.67663200,AVENIDA,PIO XII,95 A,28036,2022-08-01
8972332,172,SAN CRISTOBAL,17,VILLAVERDE,40.34629817,-3.68954399,CALLE,BURJASOT,1 A,28021,2022-08-01
8972337,102,PUERTA DEL ANGEL,10,LATINA,40.40698710,-3.73718099,PLAZA,PATRIARCA EIJO Y GARAY,1,28011,2022-08-01
8972339,126,ZOFIO,12,USERA,40.38333611,-3.71183499,AVENIDA,RAFAELA YBARRA,33,28026,2022-08-01
8972343,127,PRADOLONGO,12,USERA,40.37706017,-3.70479400,CALLE,CRISTO DE LA VICTORIA,199,28026,2022-08-01
8972351,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.50823810,-3.67955499,CALLE,FROMISTA,1,28050,2022-08-01
8972357,97,ARAVACA,9,MONCLOA-ARAVACA,40.45721814,-3.76626299,CALLE,HIENDELAENCINA,18,28023,2022-08-01
8972362,127,PRADOLONGO,12,USERA,40.37608811,-3.70567599,CALLE,DOCTOR TOLOSA LATOUR,16 A,28026,2022-08-01
8972368,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37460516,-3.60881500,CALLE,VILLAMAYOR DE SANTIAGO,25,28051,2022-08-01
8972290,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,40.36869715,-3.63172699,CALLE,PERALES DEL RIO,4,28031,2022-08-01
8972295,84,EL PILAR,8,FUENCARRAL-EL PARDO,40.47525210,-3.71083699,CALLE,MELCHOR FERNANDEZ ALMAGRO,84,28029,2022-08-01
8972299,121,ORCASITAS,12,USERA,40.36729910,-3.71280000,CALLE,ORDICIA,4,28041,2022-08-01
8972304,126,ZOFIO,12,USERA,40.37802914,-3.71843200,CALLE,RICARDO BELTRAN Y ROZPIDE,20,28026,2022-08-01
8972305,93,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,40.45264013,-3.71561299,CALLE,RECTOR ROYO-VILLANOVA,10 E,28040,2022-08-01
8972315,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36703711,-3.61844399,CALLE,ESTREMERA,16 A,28051,2022-08-01
8972317,81,EL PARDO,8,FUENCARRAL - EL PARDO,40.51652210,-3.77301494,PLAZA,SAN FERNANDO,14,28048,2022-08-01
8972320,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,40.37175915,-3.62496499,CALLE,NAVAMURES,10,28031,2022-08-01
8972370,84,EL PILAR,8,FUENCARRAL-EL PARDO,40.47295315,-3.70698199,CALLE,RIBADAVIA,45,28029,2022-08-01
8972375,117,ABRANTES,11,CARABANCHEL,40.37395813,-3.72151100,AVENIDA,POBLADOS,155,28025,2022-08-01
8972376,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36395814,-3.61487999,CALLE,PEÑARANDA DE BRACAMONTE,60,28051,2022-08-01
8972380,103,LUCERO,10,LATINA,40.39936510,-3.75199399,CALLE,CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,168,28047,2022-08-01
8972384,117,ABRANTES,11,CARABANCHEL,40.37794609,-3.72564399,CALLE,VIA LUSITANA,9,28025,2022-08-01
8972389,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,40.42765912,-3.72996999,CALLE,ANICETO MARINAS,94,28008,2022-08-01
8972395,126,ZOFIO,12,USERA,40.38226510,-3.71599599,CALLE,CERRO BLANCO,8,28026,2022-08-01
8972396,127,PRADOLONGO,12,USERA,40.37762617,-3.70764799,CALLE,CRISTO DE LA VICTORIA,231,28026,2022-08-01
8972326,56,CASTILLA,5,CHAMARTIN,40.47001010,-3.67717799,AVENIDA,BURGOS,7,28036,2022-08-01
8972327,95,VALDEMARIN,9,MONCLOA-ARAVACA,40.46663817,-3.78769299,CAMINO,ZARZUELA,29,28023,2022-08-01
8972329,182,SANTA EUGENIA,18,VILLA DE VALLECAS,40.37971909,-3.61657198,CALLE,REAL DE ARGANDA,39,28031,2022-08-01
8972330,102,PUERTA DEL ANGEL,10,LATINA,40.40897509,-3.72704200,CALLE,SEPULVEDA,12 D,28011,2022-08-01
8972335,88,EL GOLOSO,8,FUENCARRAL-EL PARDO,40.50450611,-3.70361800,AVENIDA,MONASTERIO DE EL ESCORIAL,31,28049,2022-08-01
8972340,103,LUCERO,10,LATINA,40.39982216,-3.75257100,CALLE,BERLANAS,34,28047,2022-08-01
8972344,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36914611,-3.61330899,CALLE,PUENTEDEY,5 F,28051,2022-08-01
8972346,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.49754516,-3.69350399,CALLE,SAN CUGAT DEL VALLES,4,28034,2022-08-01
8972400,102,PUERTA DEL ANGEL,10,LATINA,40.40700214,-3.72853999,CALLE,SEPULVEDA,5 A,28011,2022-08-01
8972408,127,PRADOLONGO,12,USERA,40.37441914,-3.70674399,CALLE,DOCTOR TOLOSA LATOUR,16 A,28026,2022-08-01
8972411,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36831913,-3.60696299,CALLE,ENTREPEÑAS,43,28051,2022-08-01
8972419,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.49797409,-3.69226899,CALLE,AFUERAS A VALVERDE,40,28034,2022-08-01
8972420,117,ABRANTES,11,CARABANCHEL,40.38278616,-3.71888999,AVENIDA,PRINCESA JUANA DE AUSTRIA,43,28026,2022-08-01
8972421,87,MIRASIERRA,8,FUENCARRAL-EL PARDO,40.49111110,-3.72768199,CALLE,MARIA DE MAEZTU,50,28049,2022-08-01
8972428,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.47295715,-3.72602799,CALLE,DOCTOR RAMON CASTROVIEJO,75,28035,2022-08-01
8972439,191,CASCO H.VICALVARO,19,VICALVARO,40.38643011,-3.60510299,CALLE,CERRO DE ALMODOVAR,1,28031,2022-08-01
8972349,97,ARAVACA,9,MONCLOA-ARAVACA,40.44526910,-3.78836799,AVENIDA,EUROPA,29 A,28023,2022-08-01
8972350,123,SAN FERMIN,12,USERA,40.37485116,-3.69390000,AVENIDA,ANDALUCIA,1,28041,2022-08-01
8972353,182,SANTA EUGENIA,18,VILLA DE VALLECAS,40.38203715,-3.61326600,PLAZA,ENRIQUE DE MESA,8,28031,2022-08-01
8972354,182,SANTA EUGENIA,18,VILLA DE VALLECAS,40.37824114,-3.60307500,CALLE,POZA DE LA SAL,3,28031,2022-08-01
8972360,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.50806612,-3.66950699,AVENIDA,CAMINO DE SANTIAGO,50,28050,2022-08-01
8972365,32,ADELFAS,3,RETIRO,40.40074113,-3.66821799,CALLE,ARREGUI Y ARUEJ,19,28007,2022-08-01
8972372,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.48401212,-3.71612100,AVENIDA,VENTISQUERO DE LA CONDESA,4,28035,2022-08-01
8972373,126,ZOFIO,12,USERA,40.38283914,-3.71273200,CALLE,FORNILLOS,40,28026,2022-08-01
8972441,127,PRADOLONGO,12,USERA,40.37521212,-3.71037700,AVENIDA,RAFAELA YBARRA,85,28026,2022-08-01
8972450,32,ADELFAS,3,RETIRO,40.39632216,-3.67190499,CALLE,CERRO NEGRO,12 B,28007,2022-08-01
8972457,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36471815,-3.61369400,CALLE,PEÑARANDA DE BRACAMONTE,54,28051,2022-08-01
8972459,127,PRADOLONGO,12,USERA,40.38018117,-3.71100899,AVENIDA,RAFAELA YBARRA,40,28026,2022-08-01
8972462,117,ABRANTES,11,CARABANCHEL,40.38155610,-3.71962099,AVENIDA,PRINCESA JUANA DE AUSTRIA,43,28026,2022-08-01
8972468,116,BUENAVISTA,11,CARABANCHEL,40.37064412,-3.72175899,CALLE,ILDEFONSO GONZALEZ VALENCIA,7,28054,2022-08-01
8972471,127,PRADOLONGO,12,USERA,40.37591315,-3.71095799,AVENIDA,RAFAELA YBARRA,85,28026,2022-08-01
8972482,171,VILLAVERDE ALTO C.H.,17,VILLAVERDE,40.36097315,-3.71560299,AVENIDA,RAFAELA YBARRA,135,28041,2022-08-01
8972378,102,PUERTA DEL ANGEL,10,LATINA,40.40948012,-3.72618499,CALLE,POZOBLANCO,7,28011,2022-08-01
8972382,101,LOS CARMENES,10,LATINA,40.40218417,-3.74388100,CALLE,HURTUMPASCUAL,2,28047,2022-08-01
8972391,103,LUCERO,10,LATINA,40.39778117,-3.74876700,CALLE,CUART DE POBLET,81,28047,2022-08-01
8972404,103,LUCERO,10,LATINA,40.39893215,-3.74559099,CALLE,CUART DE POBLET,9,28047,2022-08-01
8972413,127,PRADOLONGO,12,USERA,40.37334415,-3.70676300,AVENIDA,POBLADOS,169,28026,2022-08-01
8972416,117,ABRANTES,11,CARABANCHEL,40.37417012,-3.71997699,AVENIDA,POBLADOS,157,28026,2022-08-01
8972423,97,ARAVACA,9,MONCLOA-ARAVACA,40.44923715,-3.79007699,CALLE,RIO SELLA,29,28023,2022-08-01
8972424,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37098910,-3.62590599,CALLE,NAVAMURES,10,28031,2022-08-01
8972484,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36511612,-3.60532800,CALLE,JOSE GUTIERREZ MAROTO,28,28051,2022-08-01
8972495,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,40.37778311,-3.62217400,CALLE,MONTE AYA,9,28031,2022-08-01
8972503,117,ABRANTES,11,CARABANCHEL,40.37846714,-3.72409699,CALLE,VIA LUSITANA,7,28025,2022-08-01
8972509,97,ARAVACA,9,MONCLOA-ARAVACA,40.46204010,-3.78136099,CALLE,ARDALES,12 B,28023,2022-08-01
8972516,117,ABRANTES,11,CARABANCHEL,40.38088312,-3.72056199,AVENIDA,PRINCESA JUANA DE AUSTRIA,43,28026,2022-08-01
8972521,104,ALUCHE,10,LATINA,40.39523513,-3.74772100,CALLE,DUQUESA DE PARCENT,54,28047,2022-08-01
8972523,96,EL PLANTIO,9,MONCLOA-ARAVACA,40.46330617,-3.80181099,CALLE,RAFAEL BOTI,28 B,28023,2022-08-01
8972525,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37362711,-3.60963999,AVENIDA,LA GAVIA,13,28051,2022-08-01
8972432,97,ARAVACA,9,MONCLOA-ARAVACA,40.46149916,-3.79781300,CALLE,CARRIL DE LOS CALEROS,8 A,28023,2022-08-01
8972434,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36885715,-3.61675500,AVENIDA,CERRO MILANO,3,28051,2022-08-01
8972435,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.47528808,-3.72083899,GLORIETA,MARIANO SALVADOR MAELLA,5,28035,2022-08-01
8972445,127,PRADOLONGO,12,USERA,40.37424111,-3.70752600,AVENIDA,POBLADOS,167,28026,2022-08-01
8972453,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.47525913,-3.71773299,CALLE,LA BAÑEZA,41 C,28035,2022-08-01
8972464,87,MIRASIERRA,8,FUENCARRAL-EL PARDO,40.49153614,-3.72713899,CALLE,CARME CHACON,1,28049,2022-08-01
8972466,126,ZOFIO,12,USERA,40.38400112,-3.71187200,AVENIDA,RAFAELA YBARRA,2,28026,2022-08-01
8972473,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36976617,-3.62521199,CALLE,LA GRANJA DE SAN ILDEFONSO,1,28051,2022-08-01
8972534,103,LUCERO,10,LATINA,40.40244608,-3.74816499,CALLE,PRADALES,21,28047,2022-08-01
8972536,117,ABRANTES,11,CARABANCHEL,40.38022211,-3.72242700,CALLE,VIA LUSITANA,5,28025,2022-08-01
8972537,87,MIRASIERRA,8,FUENCARRAL-EL PARDO,40.48757909,-3.72089299,PLAZA,VALLE DE LA JAROSA,9,28035,2022-08-01
8972540,127,PRADOLONGO,12,USERA,40.37351816,-3.70584099,AVENIDA,POBLADOS,169,28026,2022-08-01
8972542,121,ORCASITAS,12,USERA,40.36923015,-3.71765900,CALLE,IBARRA,136,28041,2022-08-01
8972549,121,ORCASITAS,12,USERA,40.37015811,-3.70981699,PLAZA,MEMORIA VINCULANTE,1,28041,2022-08-01
8972552,127,PRADOLONGO,12,USERA,40.37456513,-3.70490699,CALLE,DOCTOR TOLOSA LATOUR,16 A,28026,2022-08-01
8972555,181,CASCO H.VALLECAS,18,VILLA DE VALLECAS,40.38285012,-3.61943900,CAMINO,VASARES,2,28031,2022-08-01
8972476,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,40.43000308,-3.73242100,AVENIDA,VALLADOLID,49 A,28008,2022-08-01
8972478,117,ABRANTES,11,CARABANCHEL,40.37362311,-3.73048999,AVENIDA,POBLADOS,113,28025,2022-08-01
8972480,117,ABRANTES,11,CARABANCHEL,40.37738010,-3.72464499,CALLE,VIA LUSITANA,9,28025,2022-08-01
8972487,84,EL PILAR,8,FUENCARRAL-EL PARDO,40.47733615,-3.70536599,PLAZA,CARBALLO,6,28029,2022-08-01
8972488,116,BUENAVISTA,11,CARABANCHEL,40.37255511,-3.72249700,CALLE,JOSE URIOSTE Y VELADA,4,28054,2022-08-01
8972491,117,ABRANTES,11,CARABANCHEL,40.38032615,-3.71936599,CALLE,ALBARDIN,1,28026,2022-08-01
8972498,97,ARAVACA,9,MONCLOA-ARAVACA,40.45339811,-3.78228900,CALLE,HUMERA,36,28023,2022-08-01
8972500,95,VALDEMARIN,9,MONCLOA-ARAVACA,40.46267310,-3.76794099,CALLE,EVANGELINA SOBREDO GALANES,9,28023,2022-08-01
8972558,101,LOS CARMENES,10,LATINA,40.40124510,-3.73821100,CALLE,CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,56,28047,2022-08-01
8972561,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37314914,-3.60330800,CALLE,PEÑARANDA DE BRACAMONTE,11,28051,2022-08-01
8972565,123,SAN FERMIN,12,USERA,40.37630310,-3.69365499,CALLE,SAN MAXIMO,4,28041,2022-08-01
8972570,107,LAS AGUILAS,10,LATINA,40.37544213,-3.77381699,CALLE,OSA DE LA VEGA,8 D,28044,2022-08-01
8972572,126,ZOFIO,12,USERA,40.38342913,-3.71258799,CALLE,FORNILLOS,7,28026,2022-08-01
8972576,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37876714,-3.61207000,CALLE,REAL DE ARGANDA,68,28031,2022-08-01
8972577,88,EL GOLOSO,8,FUENCARRAL-EL PARDO,40.51003215,-3.69207499,CALLE,MONASTERIO DE SOBRADO,6 C,28049,2022-08-01
8972580,121,ORCASITAS,12,USERA,40.37197015,-3.71868000,CALLE,GAINZA,35,28041,2022-08-01
