Zone Name,zone_name,Ward Name,Name of Parking,Parking Address,Latitude,Longitude,No. of 4 wheeler parking,No. of 2 wheeler parking
Hariparwat,Hariparwat,   Nagla Padi,    Group_B_8(2),   Vehicles moving to Rambagh and Kamla Nagar,27.21123,78.004267,26,203
Hariparwat,Hariparwat,   Wazirpura,    Group_C_18,"   Nagar Nigam Campus ,Car, Motorcycle, Cycle Stand",27.203096,78.005084,31,241
Hariparwat,Hariparwat,   Wazirpura,    DP7,   Parking in front of sharm,27.197465,78.007238,22,171
Hariparwat,Hariparwat,   Wazirpura,    AP1,   Parking in front of Babla Shoes,27.201901,78.005612,38,291
Hariparwat,Chatta,   Nagla Harmukh,    Group_A_4,   Waterworks Crossroad to Bhagwan Talkies Road In Front of IG Plot,27.206707,78.029641,13,97
Hariparwat,Hariparwat,   Wazirpura,    EP5,   Parking in front of Bank of Baroda,27.200107,78.006151,55,419
Hariparwat,Hariparwat,   Wazirpura,    EP3,   New Highway International Front Parking,27.200829,78.006563,33,251
Hariparwat,Chatta,   Nagla Harmukh,    Group_A_6,   Jeoni Mandi Road with the Side of Boundary of Water Department at Waterworks,27.206263,78.02993,6,46
Hariparwat,Hariparwat,   Wazirpura,    EP1,   Central Bank Front Parking,27.201454,78.006339,25,195
Hariparwat,Hariparwat,   Wazirpura,    EP7,   Parking in front of Intex Smart World,27.198654,78.005776,31,239
Hariparwat,Hariparwat,   Wazirpura,    BP4,   Parking of  right of Hariparvat intersection,27.197019,78.002361,42,326
Hariparwat,Chatta,   Trans Yamuna,    Group_A_1(3),   Vehicles moving to Firozabad,27.202736,78.040573,20,154
Hariparwat,Hariparwat,   Wazirpura,    BP2,   Axis Bank Front Parking,27.197992,78.004452,37,285
Hariparwat,Hariparwat,   Wazirpura,    AP5,   Parking in front of Bachhumal style,27.199793,78.004627,61,467
Chatta,Hariparwat,   Wazirpura,    AP3,   In front of IBC optical,27.20062,78.005021,34,263
Hariparwat,Hariparwat,   Wazirpura,    AP7,   Side Parking of P.L Palace Hotel,27.199368,78.004185,12,89
Lohamandi,Chatta,   Dhakran,    Parking Area,"   Panchkuian, Rakabganj, Agra, Uttar Pradesh ",27.178212,78.001432,NA,NA
Chatta,Hariparwat,   Wazirpura,    DP4,   Parking in front of shoe dart,27.198545,78.007232,18,141
Lohamandi,Hariparwat,   Wazirpura,    EP11,   Parking in front of computer center,27.198906,78.008016,28,217
Hariparwat,Hariparwat,   Wazirpura,    EP12,   Parking in front of Koyal Green,27.199138,78.00828,16,119
Hariparwat,Hariparwat,   Wazirpura,    DP1,   ICICI Bank Front Parking,27.199055,78.006215,40,310
Hariparwat,Hariparwat,   Wazirpura,    DP2,   Blue dart front parking,27.1994,78.006702,32,248
Hariparwat,Hariparwat,   Wazirpura,    EP10,   Parking in front of Suresh Chand Gupta,27.199508,78.007157,10,77
Hariparwat,Hariparwat,   Wazirpura,    EP8,   ICICI Bank Front Parking,27.199464,78.005961,21,157
Hariparwat,Hariparwat,   Wazirpura,    BACKSIDE,   Parking behind Commissioner Central Excise,27.20157,78.007741,11,82
Hariparwat,,,,,,,,
