Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750116194,15,AVENUE DE LA PORTE DE SEVRES,AVENUE
750019686,19,AVENUE DE LA PORTE DES LILAS,AVENUE
750083561,18,AVENUE DE LA PORTE DES POISSONNIERS,AVENUE
750172709,17,AVENUE DE LA PORTE DES TERNES,AVENUE
750104693,14,AVENUE DE LA PORTE DE VANVES,AVENUE
750138182,17,AVENUE DE LA PORTE DE VILLIERS,AVENUE
750093844,20,AVENUE DE LA PORTE DE VINCENNES,AVENUE
750154267,13,AVENUE DE LA PORTE DE VITRY,AVENUE
750104745,14,AVENUE DE LA PORTE DIDOT,AVENUE
750181937,19,AVENUE DE LA PORTE DU PRE SAINT-GERVAIS,AVENUE
750127891,16,AVENUE DE LA PORTE MOLITOR,AVENUE
750163803,17,AVENUE DE LA PORTE POUCHET,AVENUE
750055472,11,AVENUE DE LA REPUBLIQUE,AVENUE
750155019,14,AVENUE DE LA SIBELLE,AVENUE
750073901,13,AVENUE DE LA SOEUR ROSALIE,AVENUE
750017527,19,AVENUE DE LAUMIERE,AVENUE
750035917,8,AVENUE DELCASSE,AVENUE
750110080,15,AVENUE DELECOURT,AVENUE
750032468,7,AVENUE DE LOWENDAL,AVENUE
750125471,16,AVENUE DE MALAKOFF,AVENUE
750359184,8,AVENUE DE MARIGNY,AVENUE
750037948,8,AVENUE DE MESSINE,AVENUE
750126246,16,AVENUE DE MONTESPAN,AVENUE
750126296,16,AVENUE DE MONTMORENCY,AVENUE
750126749,16,AVENUE DE NEUILLY,AVENUE
750169615,16,AVENUE DE NEW YORK,AVENUE
750100521,14,AVENUE DENFERT-ROCHEREAU,AVENUE
750137753,17,AVENUE DE PETERHOF,AVENUE
750127645,16,AVENUE DE POLOGNE,AVENUE
750043574,9,AVENUE DE PROVENCE,AVENUE
750128682,16,AVENUE DE ROUVRAY,AVENUE
750180289,16,AVENUE DE SAINT-CLOUD,AVENUE
750175010,12,AVENUE DE SAINT-MANDE,AVENUE
750168323,12,AVENUE DE SAINT-MAURICE,AVENUE
750138895,17,AVENUE DE SAINT-OUEN,AVENUE
750139019,17,AVENUE DE SALONIQUE,AVENUE
750163701,17,AVENUE DES ARTS,AVENUE
750033446,7,AVENUE DE SAXE,AVENUE
750180824,12,AVENUE DES CANADIENS,AVENUE
750120457,16,AVENUE DES CHALETS,AVENUE
750035426,8,AVENUE DES CHAMPS ELYSEES,AVENUE
750162405,17,AVENUE DES CHASSEURS,AVENUE
750033514,7,AVENUE DE SEGUR,AVENUE
750164853,8,AVENUE DE SELVES,AVENUE
750141790,13,AVENUE DES GOBELINS,AVENUE
750179073,12,AVENUE DES MINIMES,AVENUE
750159432,16,AVENUE DES NATIONS UNIES,AVENUE
750137453,17,AVENUE DES PAVILLONS,AVENUE
750127488,16,AVENUE DES PEUPLIERS,AVENUE
750127904,16,AVENUE DES PORTUGAIS,AVENUE
750179142,16,AVENUE DES SYCOMORES,AVENUE
750139462,17,AVENUE DES TERNES,AVENUE
750065344,12,AVENUE DES TERROIRS DE FRANCE,AVENUE
750129546,16,AVENUE DES TILLEULS,AVENUE
750167724,12,AVENUE DES TRIBUNES,AVENUE
750117438,15,AVENUE DE SUFFREN,AVENUE
750056858,11,AVENUE DE TAILLEBOURG,AVENUE
750033797,7,AVENUE DE TOURVILLE,AVENUE
750039460,8,AVENUE DE VALOIS,AVENUE
750049720,10,AVENUE DE VERDUN,AVENUE
750129882,16,AVENUE DE VERSAILLES,AVENUE
750141442,17,AVENUE DE VERZY,AVENUE
750034376,7,AVENUE DE VILLARS,AVENUE
750167453,17,AVENUE DE VILLIERS,AVENUE
750039621,8,AVENUE DE WAGRAM,AVENUE
750121556,16,AVENUE DODE DE LA BRUNERIE,AVENUE
750060519,12,AVENUE DORIAN,AVENUE
750058002,12,AVENUE DU BEL AIR,AVENUE
750014043,19,AVENUE DU BELVEDERE,AVENUE
750132682,17,AVENUE DU CIMETIERE DES BATIGNOLLES,AVENUE
750120969,16,AVENUE DU COLONEL BONNET,AVENUE
750167887,14,AVENUE DU COLONEL HENRI ROL-TANGUY,AVENUE
750041158,9,AVENUE DU COQ,AVENUE
750060416,12,AVENUE DU DOCTEUR ARNOLD NETTER,AVENUE
750031171,7,AVENUE DU DOCTEUR BROUARDEL,AVENUE
750088356,20,AVENUE DU DOCTEUR GLEY,AVENUE
750122966,16,AVENUE DU GENERAL BALFOURIER,AVENUE
750122973,16,AVENUE DU GENERAL CLAVERY,AVENUE
750146130,7,AVENUE DU GENERAL DETRIE,AVENUE
750061220,12,AVENUE DU GENERAL DODDS,AVENUE
750123051,16,AVENUE DU GENERAL DUBAIL,AVENUE
750177019,8,AVENUE DU GENERAL EISENHOWER,AVENUE
750061225,12,AVENUE DU GENERAL LAPERRINE,AVENUE
750101654,14,AVENUE DU GENERAL LECLERC,AVENUE
750164923,1,AVENUE DU GENERAL LEMONNIER,AVENUE
750101724,14,AVENUE DU GENERAL MAISTRE,AVENUE
750123100,16,AVENUE DU GENERAL MANGIN,AVENUE
750061232,12,AVENUE DU GENERAL MESSIMY,AVENUE
750061327,12,AVENUE DU GENERAL MICHEL BIZOT,AVENUE
750143986,16,AVENUE DU GENERAL SARRAIL,AVENUE
750159561,7,AVENUE DU GENERAL TRIPIER,AVENUE
750103044,14,AVENUE DU MAINE,AVENUE
750125668,16,AVENUE DU MARECHAL FAYOLLE,AVENUE
750125680,16,AVENUE DU MARECHAL FRANCHET D'ESPEREY,AVENUE
750125723,16,AVENUE DU MARECHAL LYAUTEY,AVENUE
750125737,16,AVENUE DU MARECHAL MAUNOURY,AVENUE
750019019,19,AVENUE DU NOUVEAU CONSERVATOIRE,AVENUE
750126948,16,AVENUE DU PARC DE PASSY,AVENUE
750126977,16,AVENUE DU PARC DES PRINCES,AVENUE
750093314,20,AVENUE DU PERE LACHAISE,AVENUE
750167363,12,AVENUE DU POLYGONE,AVENUE
750128019,16,AVENUE DU PRESIDENT KENNEDY,AVENUE
750173631,16,AVENUE DU PRESIDENT WILSON,AVENUE
750185296,20,AVENUE DU PROFESSEUR ANDRE LEMIERRE,AVENUE
750031234,7,AVENUE DUQUESNE,AVENUE
750161150,16,AVENUE DU RANELAGH,AVENUE
750128531,16,AVENUE DU RECTEUR POINCARE,AVENUE
750129233,16,AVENUE DU SQUARE,AVENUE
750097609,12,AVENUE DU TREMBLAY,AVENUE
750057075,11,AVENUE DU TRONE,AVENUE
750163305,8,AVENUE DUTUIT,AVENUE
750069387,13,AVENUE EDISON,AVENUE
750164771,8,AVENUE EDWARD TUCK,AVENUE
750031336,7,AVENUE ELISEE RECLUS,AVENUE
750181030,7,AVENUE EMILE ACOLLAS,AVENUE
750179834,16,AVENUE EMILE BERGERAT,AVENUE
750031369,7,AVENUE EMILE DESCHANEL,AVENUE
750133922,17,AVENUE EMILE ET ARMAND MASSARD,AVENUE
750060715,12,AVENUE EMILE LAURENT,AVENUE
750031387,7,AVENUE EMILE POUVILLON,AVENUE
750110916,15,AVENUE EMILE ZOLA,AVENUE
750121958,16,AVENUE ERLANGER,AVENUE
750111173,15,AVENUE ERNEST RENAN,AVENUE
750101125,14,AVENUE ERNEST REYER,AVENUE
750069676,13,AVENUE FELICIEN ROPS,AVENUE
750165161,16,AVENUE FELIX D'HERELLE,AVENUE
750111611,15,AVENUE FELIX FAURE,AVENUE
