Identifiant;Nom parc;INSEE;Adresse principale;URL ressource services;Type usagers;Gratuit;Nbre total places;Nbre place parc relais;Nbre place PMR;Nbre place voit elec;Nbre place vélo;Nbre place velo-2rm elec;Nbre place autopartage;Nbre place 2rm;Nbre place covoiturage;Hauteur max;Numéro SIRET;X longitude parc WGS84;Y latitude parc WGS84;Tarif PMR;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;Abonnement résident;Abonnement non résident;Type ouvrage;Informations;Identifiants entrées;Adresses entrées;Arrondissement;Délégataire;Téléphone;Horaire ouverture non abonnés;Ascenseur surface;Date application tarif abonnement;Abonnement mensuel;Abonnement annuel;Tarif VL petit rouleur;Tarif petit rouleur annuel mini;Tarif petit rouleur annuel maxi;Tarif VL résident;Tarif résident annuel;Date application tarif horaire;Tarif_15mn;Tarif_30mn;Tarif_1h30;Tarif_7h;Tarif_8h;Tarif_9h;Tarif_10h;Tarif_11h;Tarif_12h;Tarif abonnement PMR mensuel;Tarif abonnement PMR timestriel;Tarif abonnement PMR annuel;Date MaJ données tarif;Tarif abonnement VéhElect mensuel;Tarif abonnement VéhElect trimestriel;Tarif abonnement VéhElect annuel;Tarif moto 1ere heure;Tarif abonnement moto mensuel;Tarif abonnement moto trimestriel;Tarif abonnement moto annuel;Tarif abonnement vélo mensuel;Coord X entrées LB93;Coord Y entrées LB93;Code zones résidentielles;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto;Tarif moto petit rouleur;Tarif moto petit rouleur annuel mini;Tarif moto petit rouleur annuel maxi;Tarif moto résident;Tarif moto résident annuel;Parc amodié;Tarif abonnement place attribuée annuel;Parc relais;Tarif abonnement parc relais annuel;Tarif résident mensuel;Parc affilié au dispositif Pass 2RM;Tarif horaire préférentiel Moto Pass 2RM;Tarif de l'abonnement au Pass 2RM mensuel;Tarif de l'abonnement au Pass 2RM trimestriel;Tarif de l'abonnement au Pass 2RM annuel;geo_shape;geo_point_2d
75105-P-077;LAGRANGE MAUBERT;75105;19 ter rue lagrange, 75005, Paris;https://www.saemes.fr/fr/parking/parking-lagrange-maubert;tous;0;368;0;8;14;10;0;5;18;0;185;3,17033E+13;234.863.908;488.505.418;tarif_special;4.5;9.0;13.5;18.0;40.5;208.5;269.0;ouvrage;tarif petit rouleur -30 % = contacter le parc;77-E-A;19 TER RUE LAGRANGE;5;SAEMES;143258447;24h / 24;OUI;2023-01-01T02:00:00+01:00;269.0;2690.0;OUI;1459.0;2085.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.8;31.5;36.0;40.5;40.5;40.5;40.5;134.5;376.6;1345.0;2023-06-01T04:00:00+02:00;134.5;376.6;1345.0;1.55;94.1;263.6;941.0;12.0;652.202.197;6.861.363.792;1E,4E,5E,5F,5G,5H,5J,6E,6G;0.4;0.8;13.95;OUI;510.0;729.0;NON;;NON;3360.0;NON;;;NON;;;;;"{""coordinates"": [2.348639083602647, 48.85054179989922], ""type"": ""Point""}";48.85054179989922, 2.348639083602647
75117-P-114;PORTE D ASNIERES;75117;2 avenue de la porte d asnieres, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-dasnieres-75170600;abonnés;0;302;0;0;0;0;0;0;0;0;190;7,22054E+13;230.375.258;4.889.037.285;;;;;;;;168.0;ouvrage;abonnements avec reservation uniquement;114-E-A;2 AVENUE DE LA PORTE D ASNIERES;17;INDIGO;141720271;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;96.0;270.0;998.0;;648.947.496;6.865.820.796;;;;;NON;;;NON;;NON;1747.0;NON;;;NON;;;;;"{""coordinates"": [2.3037525820336078, 48.89037284556033], ""type"": ""Point""}";48.89037284556033, 2.3037525820336078
75116-P-074;GROS BOULAINVILLIERS;75116;15 ter rue de boulainvilliers, 75016, Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers;abonnés;0;339;0;0;0;0;0;0;6;0;195;3,17033E+13;227.603.512;4.885.251.507;tarif_special;;;;;;160.0;216.0;ouvrage;;74-E-A;15 TER RUE DE BOULAINVILLIERS;16;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;216.0;2160.0;NON;;;OUI;1600.0;1900-01-01T01:09:21+01:00;;;;;;;;;;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;108.0;302.5;1080.0;;75.6;211.8;756.0;10.0;646.876.567;6.861.629.598;16P,16T;;;;NON;;;OUI;560.0;NON;2700.0;NON;;160.0;NON;;;;;"{""coordinates"": [2.2760351202579288, 48.852515072299504], ""type"": ""Point""}";48.852515072299504, 2.2760351202579288
75106-P-003;ODEON;75106;8 ter rue de l ecole de medecine, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/odeon-75061600;tous;0;269;0;6;10;15;8;6;13;0;190;6,42021E+13;234.112.092;4.885.096.233;tarif_special;4.6;9.2;13.8;18.4;41.4;170.0;320.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,30 euros;3-E-A;8 TER RUE DE L ECOLE DE MEDECINE;6;INDIGO;?;24h / 24;OUI;2022-10-01T04:00:00+02:00;320.0;3200.0;NON;;;OUI;1700.0;2022-10-01T04:00:00+02:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;160.0;456.0;1600.0;1.6;96.0;273.6;960.0;10.0;651.650.906;6.861.415.128;4E,5E,5F,5G,5H,5J,6E,6F,6G,7L,7M;0.4;0.8;14.4;NON;;;OUI;595.0;NON;3840.0;NON;;170.0;NON;;;;;"{""coordinates"": [2.3411209169681033, 48.85096232856645], ""type"": ""Point""}";48.85096232856645, 2.3411209169681033
75114-P-111;DIDOT;75114;2 ter rue didot, 75014, Paris;https://www.saemes.fr/fr/parking/parking-didot;abonnés;0;272;0;4;0;0;0;1;15;0;190;3,17033E+13;232.161.328;4.883.399.678;tarif_special;;;;;;;180.0;ouvrage;abonnements avec reservation uniquement;111-M-A;2 TER RUE DIDOT;14;SAEMES;144829999;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;234.0;;2023-06-01T04:00:00+02:00;;;;;72.0;187.0;720.0;;650.203.247;6.859.540.859;;;;;NON;;;NON;;NON;1800.0;NON;;;NON;;;;;"{""coordinates"": [2.32161327646211, 48.833996783785665], ""type"": ""Point""}";48.833996783785665, 2.32161327646211
75108-P-030;MADELEINE TRONCHET;75108;21 m place de la madeleine, 75008, Paris;https://www.saemes.fr/fr/parking/parking-madeleine-tronchet;tous;0;949;0;20;465;52;54;0;157;0;190;3,17033E+13;232.442.949;4.887.086.907;tarif_special;4.6;9.2;13.8;18.4;41.4;234.4;293.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;30-E-A;21 M PLACE DE LA MADELEINE;8;SAEMES;144826800;24h / 24;OUI;2023-01-01T02:00:00+01:00;293.0;2930.0;OUI;1758.0;2344.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;146.0;410.0;1460.0;2023-06-01T04:00:00+02:00;205.1;574.0;2051.0;1.6;102.0;287.0;1020.0;12.0;650.445.043;6.863.638.936;1E,2E,8E,8F,8G,8H,8J,8K,8L,9E,9G;0.4;0.8;14.4;OUI;615.0;820.0;NON;;NON;3663.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3244294947027857, 48.87086907286335], ""type"": ""Point""}";48.87086907286335, 2.3244294947027857
75107-P-134;LA TOUR MAUBOURG ORSAY;75107;45 ter quai d orsay, 75007, Paris;https://www.q-park-resa.fr/fr/parking/paris/tour-maubourg-33.html;tous;0;434;0;9;3;0;0;0;11;0;190;3,78888E+13;23.097.455;4.886.236.723;;5.8;11.6;17.4;23.2;47.85;200.0;368.0;ouvrage;;134-E-A;45 TER QUAI D ORSAY;7;Q PARK;144180405;24h / 24;OUI;2023-01-01T02:00:00+01:00;368.0;3545.0;NON;;;OUI;2400.0;2023-01-01T02:00:00+01:00;1.45;2.9;8.7;40.6;46.4;47.85;47.85;47.85;47.85;;;;2023-06-01T04:00:00+02:00;145.0;;1740.0;;168.0;464.0;1312.0;;649.359.695;6.862.702.916;1E,7E,7F,7G,7H,7J,7K,7L,7M,7N,8E,16H;;;;NON;;;NON;;NON;4430.0;NON;;200.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3097455029277723, 48.86236722539152], ""type"": ""Point""}";48.86236722539152, 2.3097455029277723
75101-P-006;VENDOME;75101;26 ter place vendome, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/vendome-75010800;tous;0;1111;0;30;4;0;0;0;60;0;190;6,92009E+13;233.000.068;4.886.783.544;;5.4;10.8;16.2;21.6;48.6;226.0;324.0;ouvrage;;6-E-A;26 TER PLACE VENDOME;1;INDIGO;142605000;24h / 24;OUI (ÉLÉVATEUR);2023-04-01T04:00:00+02:00;324.0;3369.0;NON;;;OUI;2358.0;2023-01-01T02:00:00+01:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;;;;2023-06-01T04:00:00+02:00;162.0;459.0;1684.0;1.85;113.0;321.0;1179.0;10.0;650.850.833;6.863.298.137;1E,2E,6E,7L,8E,8H,8K,9G;0.5;0.95;16.65;NON;;;NON;;NON;4211.0;NON;;226.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3300006838193625, 48.867835435647685], ""type"": ""Point""}";48.867835435647685, 2.3300006838193625
75108-P-109;ETOILE FRIEDLAND;75108;14 ter avenue de friedland, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/etoile-friedland-75080800;tous;0;576;0;6;8;6;0;0;5;0;190;6,52008E+13;230.123.059;4.887.452.022;;5.4;10.8;16.2;21.6;48.6;;309.0;ouvrage;autre entree = 39 ter avenue de Friedland, 75008, Paris;109-E-A,109-E-B;14 TER AVENUE DE FRIEDLAND,39 TER AVENUE DE FRIEDLAND;8;INDIGO;142896964;24h / 24;OUI;2023-04-01T04:00:00+02:00;309.0;3213.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;;;;2023-06-01T04:00:00+02:00;154.0;438.0;1606.0;;141.0;399.0;1466.0;;648746.976 | 648589.284;6864059.724 | 6864013.289;;;;;NON;;;NON;;NON;4016.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3012305914235913, 48.874520216329955], ""type"": ""Point""}";48.874520216329955, 2.3012305914235913
75117-P-112;MAC MAHON;75117;17 ter avenue mac mahon, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/mac-mahon-75171100;tous;0;418;0;0;0;0;0;0;15;0;190;3,04646E+13;229.440.942;4.887.655.243;tarif_special;5.0;10.0;15.0;20.0;45.0;219.0;274.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,50 euros;112-E-A;17 TER AVENUE MAC MAHON;17;INDIGO;141720271;24h / 24;OUI;2023-04-01T04:00:00+02:00;274.0;2849.0;OUI;1709.25;2279.0;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;137.0;390.0;1424.0;2023-06-01T04:00:00+02:00;137.0;390.0;1424.0;1.75;95.0;273.0;997.0;10.0;648.248.692;6864290.14;8F,8G,16E,16F,16G,17E,17F,17H,17J;0.45;0.9;15.75;OUI;592.5;790.0;NON;;NON;3561.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2944094161316126, 48.87655243022576], ""type"": ""Point""}";48.87655243022576, 2.2944094161316126
75115-P-034;CITROEN CEVENNES;75115;45 bis rue leblanc, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/citroen-cevennes-75150300;tous;0;569;0;12;6;6;0;0;18;0;190;3,49009E+13;2.276.337;4.883.875.291;tarif_special;4.2;8.4;12.6;16.8;37.8;177.0;222.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,10 euros;34-M-A;45 BIS RUE LEBLANC;15;INDIGO;145484330;24h / 24;OUI;2023-04-01T04:00:00+02:00;222.0;2308.0;OUI;1384.5;1846.0;NON;;2023-01-01T02:00:00+01:00;1.05;2.1;6.3;29.4;33.6;37.8;37.8;37.8;37.8;111.0;315.0;1154.0;2023-06-01T04:00:00+02:00;111.0;315.0;1154.0;1.45;77.0;219.0;807.0;10.0;646.884.694;6860099.19;15M,15N,15P,15W,15X;0.4;0.75;13.05;OUI;483.75;645.0;NON;;NON;2885.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2763370044375386, 48.83875290582963], ""type"": ""Point""}";48.83875290582963, 2.2763370044375386
75117-P-011;CARNOT;75117;14 ter avenue carnot, 75017, Paris;https://www.saemes.fr/fr/parking/parking-carnot;tous;0;398;0;0;0;0;0;0;10;0;190;3,17033E+13;229.327.733;4.887.597.062;tarif_special;4.4;8.8;13.2;17.6;39.6;200.0;250.0;ouvrage;tarif PMR = 2,20 euros;11-E-A;14 TER AVENUE CARNOT;17;SAEMES;144829999;24h / 24;OUI;2022-07-01T04:00:00+02:00;250.0;2500.0;OUI;1500.0;2000.0;NON;;2022-07-01T04:00:00+02:00;1.1;2.2;6.6;30.8;35.2;39.6;39.6;39.6;39.6;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;125.0;350.0;1250.0;1.45;87.0;245.0;875.0;10.0;648.165.083;6864226.19;1E,2E,8E,8F,8G,8H,8J,8K,8L,9E,9G;0.4;0.75;13.05;OUI;525.0;700.0;NON;;NON;3130.0;NON;;;NON;;;;;"{""coordinates"": [2.2932773339320476, 48.87597062361851], ""type"": ""Point""}";48.87597062361851, 2.2932773339320476
75101-P-008;LES HALLES ST EUSTACHE;75101;22 rue des halles, 75001, Paris;https://www.saemes.fr/fr/parking/parking-les-halles-st-eustache;tous;0;360;0;5;2;41;2;0;15;0;185;3,17033E+13;234.596.398;4.886.068.216;tarif_special;4.5;9.0;13.5;18.0;40.5;220.0;275.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,25 euros;8-E-A;22 RUE DES HALLES;1;SAEMES;142365737;24h / 24;OUI;2023-01-01T02:00:00+01:00;275.0;2750.0;OUI;1650.0;2200.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.8;31.5;36.0;40.5;40.5;40.5;40.5;137.5;381.0;1375.0;2023-06-01T04:00:00+02:00;137.5;381.0;1375.0;1.55;96.3;266.7;963.0;18.0;652.015.238;6.862.492.932;TROIS PREMIERS ARRONDISSEMENTS;0.4;0.8;13.95;OUI;577.0;770.0;NON;;NON;3437.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3459639824912313, 48.86068215617949], ""type"": ""Point""}";48.86068215617949, 2.3459639824912313
75116-P-059;VICTOR HUGO POMPE;75116;122 avenue victor hugo, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/victor-hugo-pompe-75160100;tous;0;485;0;0;0;0;0;0;9;0;190;7,22054E+13;228.073.239;4.886.778.257;tarif_special;5.0;10.0;15.0;20.0;45.0;;348.0;ouvrage;tarif PMR = 2,50 euros;59-E-A;122 AVENUE VICTOR HUGO;16;INDIGO;141720260;24h / 24;PREVU;2023-04-01T04:00:00+02:00;348.0;3619.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;174.0;495.0;1809.0;2023-06-01T04:00:00+02:00;174.0;495.0;1809.0;1.75;121.0;345.0;1266.0;10.0;647236.7;6.863.324.053;;0.45;0.9;15.75;NON;;;NON;;NON;4523.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.280732393178407, 48.86778257274995], ""type"": ""Point""}";48.86778257274995, 2.280732393178407
75110-P-130;FRANZ LISZT;75110;32 ter rue des petits hotels, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/franz-liszt-75100300;tous;0;287;0;5;0;4;0;0;27;0;190;3,04646E+13;235.265.508;4.887.756.471;;5.0;10.0;15.0;20.0;45.0;;259.0;ouvrage;;130-E-A;32 TER RUE DES PETITS HOTELS;10;INDIGO;141720265;24h / 24;OUI;2023-04-01T04:00:00+02:00;259.0;2693.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;;;;2023-06-01T04:00:00+02:00;;;;;90.0;258.0;942.0;;652.521.524;6.864.366.101;;;;;NON;;;NON;;NON;3366.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3526550836173903, 48.87756471340726], ""type"": ""Point""}";48.87756471340726, 2.3526550836173903
75112-P-100;VAN GOGH;75112;203 ter rue de bercy, 75012, Paris;https://www.saemes.fr/fr/parking/parking-van-gogh;abonnés;0;183;0;0;0;0;0;0;1;0;260;3,17033E+13;237.185.347;4.884.467.523;;;;;;;;216.0;ouvrage;abonnements avec reservation uniquement,hauteur 260 cm niveaux 0 et +1 autres niveaux 190 cm;100-E-A;203 TER RUE DE BERCY;12;SAEMES;144829999;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;653.900.476;6.860.697.683;;;;;NON;;;NON;;NON;2160.0;NON;;;NON;;;;;"{""coordinates"": [2.371853465558223, 48.84467523182838], ""type"": ""Point""}";48.84467523182838, 2.371853465558223
75116-P-022;PORTE D AUTEUIL;75116;6 ter avenue du general sarrail, 75016, Paris;https://www.saemes.fr/fr/parking/parking-porte-dauteuil;tous;0;1117;0;28;237;50;3;6;47;0;185;3,17033E+13;225.617.101;488.465.712;tarif_special;4.3;8.6;12.9;17.2;38.7;127.2;159.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,autre = 2 ter avenue du General Sarrail, 75016, Paris;22-E-A,22-E-B;6 TER AVENUE DU GENERAL SARRAIL,2 TER AVENUE DU GENERAL SARRAIL;16;SAEMES;146519018;24h / 24;OUI;2023-01-01T02:00:00+01:00;159.0;1590.0;OUI;954.0;1272.0;NON;;2023-01-01T02:00:00+01:00;1.1;2.2;6.5;30.1;34.4;38.7;38.7;38.7;38.7;79.5;225.0;795.0;2023-06-01T04:00:00+02:00;119.3;338.0;1193.0;1.5;55.7;158.0;557.0;11.3;645412.786 | 645427.735;6860982.25 | 6861036.013;16R,16S,16T,16U,16V,16W,16X,16Y,16Z,/+,riverains,rue,Ningesser,et,Coli,;0.4;0.8;13.5;OUI;333.7;445.0;NON;;NON;1988.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2561710135174047, 48.84657120152656], ""type"": ""Point""}";48.84657120152656, 2.2561710135174047
75112-P-101;MEDITERRANEE;75112;40 rue de chalon, 75012, Paris;https://www.saemes.fr/fr/parking/parking-mediterranee-gare-de-lyon;tous;0;1450;0;15;4;25;6;0;144;0;190;3,17033E+13;237.574.679;4.884.497.657;tarif_special;5.1;10.2;15.3;20.4;40.8;;310.0;ouvrage;entree PMR = 24 rue de Chalon, 75012, Paris,tarif PMR = 2,55 euros;101-E-A,101-E-B;40 RUE DE CHALON,24 RUE DE CHALON;12;SAEMES;143074858;24h / 24;OUI;2023-01-01T02:00:00+01:00;310.0;3100.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.3;2.6;7.7;35.7;40.8;40.8;40.8;40.8;40.8;155.0;441.5;1550.0;2023-06-01T04:00:00+02:00;155.0;441.5;1550.0;1.75;108.5;309.0;1085.0;10.0;654186.465 | 654287.536;6860728.923 | 6860669.788;;0.45;0.9;14.0;NON;;;OUI;980.0;NON;3870.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3757467890186312, 48.84497657034854], ""type"": ""Point""}";48.84497657034854, 2.3757467890186312
75110-P-028;MAGENTA GARE DE L EST;75110;8 ter square alban satragne, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/alban-satragne-magenta-75100900;tous;0;683;0;16;335;40;15;14;71;0;190;6,42021E+13;235.529.967;488.756.675;tarif_special;4.6;9.2;13.8;18.4;41.4;210.0;263.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,30 euros;28-E-A;8 TER SQUARE ALBAN SATRAGNE;10;INDIGO;147702536;24h / 24;OUI;2023-05-01T04:00:00+02:00;263.0;2735.0;OUI;1641.0;2188.0;NON;;2023-02-01T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;131.0;372.0;1367.0;2023-06-01T04:00:00+02:00;131.0;372.0;1367.0;1.6;92.0;261.0;957.0;10.0;652713.76;6.864.153.557;10E,10F,10G;0.4;0.8;14.4;OUI;579.75;773.0;NON;;NON;3418.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3552996671955273, 48.87566750305739], ""type"": ""Point""}";48.87566750305739, 2.3552996671955273
94080-P-156;MARIGNY CHATEAU;94080;10 cours marigny, 94300, Paris;https://fr.parkindigo.com/parking/vincennes-94300/marigny-chateau-94120700;tous;0;592;30;13;4;15;0;0;38;0;190;7,22044E+13;243.953.727;4.884.535.357;tarif_special;1.65;3.3;4.95;6.6;14.85;;105.0;ouvrage;tarif PMR = 0,80 euros,le parc, propriete de la Ville de Paris, se situe a Vincennes;156-E-A;10 COURS MARIGNY;94;INDIGO;143749643;24h / 24;OUI;2018-01-01T02:00:00+01:00;105.0;1050.0;NON;;;NON;;2018-01-01T02:00:00+01:00;0.4;0.8;2.45;11.55;13.2;14.85;14.85;14.85;14.85;52.5;141.5;525.0;2023-06-01T04:00:00+02:00;52.5;141.5;525.0;0.55;35.0;94.5;350.0;10.0;658.868.221;6.860.735.722;;0.1;0.25;4.95;NON;;;NON;;NON;1310.0;OUI;75.0;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.4395372681261116, 48.84535356884166], ""type"": ""Point""}";48.84535356884166, 2.4395372681261116
75111-P-080;ROQUETTE;75111;16 bis rue servan, 75011, Paris;https://www.saemes.fr/fr/parking/parking-roquette;abonnés;0;278;0;0;0;0;0;3;14;0;190;3,17033E+13;238.370.585;4.885.986.034;tarif_special;;;;;;;120.0;ouvrage;abonnements avec reservation uniquement;80-E-A;16 BIS RUE SERVAN;11;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;54.0;;;2023-06-01T04:00:00+02:00;;;;;48.0;127.0;480.0;;654783.48;6.862.379.279;;;;;NON;;;NON;;NON;1200.0;NON;;;NON;;;;;"{""coordinates"": [2.3837058461624006, 48.859860340186756], ""type"": ""Point""}";48.859860340186756, 2.3837058461624006
75118-P-078;MARCADET;75118;142 a rue marcadet, 75018, Paris;https://www.saemes.fr/fr/parking/parking-marcadet;abonnés;0;135;0;0;0;0;0;0;10;0;200;3,17033E+13;233.901.161;4.889.130.624;tarif_special;;;;;;;206.0;ouvrage;abonnements avec reservation uniquement;78-M-A;142 A RUE MARCADET;18;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;279.0;1030.0;2023-06-01T04:00:00+02:00;;;;;83.0;223.0;830.0;;651.533.679;6.865.902.365;;;;;NON;;;NON;;NON;2060.0;NON;;;NON;;;;;"{""coordinates"": [2.339011606484825, 48.89130623837978], ""type"": ""Point""}";48.89130623837978, 2.339011606484825
75113-P-153;UNIVERSITE DIDEROT (RIVE GAUCHE);75113;29 quater rue thomas mann, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/universite-diderot-75131200;tous;0;498;200;12;4;16;0;6;32;0;190;3,04646E+13;237.890.733;4.882.943.342;tarif_special;3.6;7.2;10.8;14.4;32.4;154.0;193.0;ouvrage;tarif petit rouleur -40 % = contacter le parc;153-E-A;29 QUATER RUE THOMAS MANN;13;INDIGO;144066050;24h / 24;OUI;2023-05-01T04:00:00+02:00;193.0;2007.0;OUI;963.0;1605.0;NON;;2023-02-01T02:00:00+01:00;0.9;1.8;5.4;25.2;28.8;32.4;32.4;32.4;32.4;96.0;273.0;1003.0;2023-06-01T04:00:00+02:00;96.0;273.0;1003.0;1.25;67.0;192.0;702.0;10.0;654.404.816;6.858.998.857;1E,2E,3E,4E,34F,5E,5F,5G,5H,5J,6E,6F,6G,7E,7F,7G,7H,7J,7K,7L,;0.35;0.65;11.25;OUI;337.2;562.0;NON;;NON;2508.0;OUI;75.0;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3789073270061416, 48.82943342318799], ""type"": ""Point""}";48.82943342318799, 2.3789073270061416
75116-P-122;DELESSERT;75116;11 rue beethoven, 75016, Paris;https://www.saemes.fr/fr/parking/parking-delessert;abonnés;0;254;0;0;0;0;0;0;0;0;195;3,17033E+13;228.700.102;488.586.523;;;;;;;;359.0;ouvrage;abonnements avec reservation uniquement;122-E-A;11 RUE BEETHOVEN;16;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;647.687.368;6.862.304.677;;;;;NON;;;NON;;NON;3450.0;NON;;;NON;;;;;"{""coordinates"": [2.2870010221489205, 48.85865229967876], ""type"": ""Point""}";48.85865229967876, 2.2870010221489205
75101-P-052;PYRAMIDES;75101;14 ter rue des pyramides, 75001, Paris;https://www.saemes.fr/fr/parking/parking-louvre-pyramides;tous;0;578;0;12;8;18;0;6;48;0;190;3,17033E+13;233.318.657;4.886.512.039;tarif_special;4.6;9.2;13.8;18.4;41.4;214.0;290.0;ouvrage;tarif petit rouleur -23 % = contacter le parc,autre entree = 29 ter rue des Pyramides, 75001, Paris,tarif PMR = 2,30 euros;52-E-A,52-E-B;14 TER RUE DES PYRAMIDES,29 TER RUE DES PYRAMIDES;1;SAEMES;147030288;24h / 24;OUI;2023-01-01T02:00:00+01:00;290.0;2900.0;OUI;1605.0;2140.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;145.0;399.0;1450.0;2023-06-01T04:00:00+02:00;145.0;399.0;1450.0;1.6;101.5;279.3;1015.0;12.0;651081.985 | 651134.902;6862994.267 | 6863124.575;1E,2E;0.4;0.8;14.4;OUI;561.0;749.0;NON;;NON;3620.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.333186567668599, 48.865120387850915], ""type"": ""Point""}";48.865120387850915, 2.333186567668599
