?ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;UBICACION;USO;MODELO
5846927;85;LA PAZ;8;FUENCARRAL-EL PARDO;OPERATIVO;440656,303;4481911,185;40,485775;-3,70020336;CALLE;SANGENJO;29;28034;ÁREA CANINA, PARQUE DE LA SUPERMANZANA 7;11045863;;FUE_08_0173;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5847548;86;VALVERDE;8;FUENCARRAL-EL PARDO;OPERATIVO;443406,123;4483778,618;40,50278962;-3,66792685;PASEO;SAN MILLAN DE LA COGOLLA;14;28050;ÁREA CANINA, CALLE SAN MILLAN DE LA COGOLLA C/V CALLE VALCARLOS;31006119;;FUE_08_0172;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
7127957;143;MARROQUINA;14;MORATALAZ;OPERATIVO;445296,24;4473357,23;40,40903513;-3,64472284;AVENIDA;MORATALAZ;183;28030;PARQUE DE MORATALAZ (PARQUE Z). JUNTO A ZONA CANINA;31003128;2020-07-09;FUE_14_0109;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7127984;146;VINATEROS;14;MORATALAZ;OPERATIVO;445969,66;4472548,78;40,4017961;-3,63671794;CALLE;HACIENDA DE PAVONES;209;28030;C/V CALLE FUENTE CARRANTONA;31044614;2020-07-09;FUE_14_0113;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7130464;193;VALDERRIVAS;19;VICALVARO;OPERATIVO;448820,84;4472242,16;40,39921399;-3,60309551;CALLE;MINERVA;32;28032;CV AV. DE LA AURORA BOREAL;31006237;2020-07-29;FUE_19_0144;VP;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7805896;193;VALDERRIVAS;19;VICALVARO;OPERATIVO;449343,28;4472549,08;40,40201088;-3,59696382;CALLE;SAN CIPRIANO;81;28032;frente estación cercanías;31036622;2021-03-05;FUE_19_0145;VP;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7869825;134;PALOMERAS SURESTE;13;PUENTE DE VALLECAS;OPERATIVO;445270,88;4470469,03;40,38301479;-3,64477347;AVENIDA;RAFAEL ALBERTI;51;28018;Campo de la Paloma zona canina;11096233;2021-05-14;FUE_13_0172;ZV;MASCOTAS;BEBEDERO TERRIER
7889388;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;449856,26;4468351,14;40,36422384;-3,59058854;CALLE;PILAR DE MADARIAGA ROJO;13;28051;junto juegos infantiles;31029419;2021-06-04;FUE_18_0067;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7924260;191;CASCO H.VICALVARO;19;VICALVARO;OPERATIVO;449439,85;4472988,36;40,40597408;-3,59586074;PASEO;POLIDEPORTIVO;144;28032;cerca de area canina;20064808;2021-07-06;FUE_19_0146;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8800150;213;CASCO H.BARAJAS;21;BARAJAS;OPERATIVO;450803,24;4480598,55;40,47461332;-3,58038303;CALLE;TROPICO;19;28042;ZV CALLE ACUARIO - Junto área canina;20044044;2022-04-04;FUE_21_0072;ZV;MASCOTAS;BEBEDERO NEPTUNO
7143151;126;ZOFIO;12;USERA;OPERATIVO;439590,34;4470587,66;40,38369098;-3,7117035;AVENIDA;RAFAELA YBARRA;4;28026;PARQUE OLOF PALME. JUNTO ÁREA CANINA;20025114;2020-08-31;FUE_12_0080;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7608511;53;CIUDAD JARDIN;5;CHAMARTIN;OPERATIVO;442753,3;4477946,43;40,45020597;-3,67510457;CALLE;MARCENADO;51;28002;DENTRO DEL ÁRENA CANINA;31044661;;FUE_05_0084;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7870538;205;ROSAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;449339,19;4475813,98;40,43142301;-3,59727205;AVENIDA;ARCENTALES;28;28022;JUNTO ÁREA CANINA.. ZONA 2 WANDA METROPOLITANO;31024129;2021-04-26;FUE_20_0130;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
7870539;205;ROSAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;449313,79;4475763,97;40,43097094;-3,5975675;AVENIDA;ARCENTALES;57;28022;ZONA 2 WANDA. PRÓXIMO A GTA. M-40;31042641;2021-04-26;FUE_20_0131;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
8835112;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;446598,04;4468935,75;40,36928809;-3,6290104;CALLE;PUERTO DE PORZUNA;45;28031;C/V AVDA. MAYORAZGO, JUNTO ÁREA CANINA;31051767;2022-05-05;FUE_18_0068;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835115;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;448244,97;4469558,29;40,37500025;-3,60966316;CALLE;VILLAMAYOR DE SANTIAGO;13;28051;PARQUE LOLA CAMARENA. JUNTO ÁREA CANINA;31028258;2022-05-05;FUE_18_0070;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835118;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;448756,2;4469369,03;40,37332685;-3,60362608;CALLE;PEÑARANDA DE BRACAMONTE;8 B;28051;CERCA DE COLEGIO, JUNTO ÁREA CANINA;31051528;2022-05-05;FUE_18_0071;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835151;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;449781,36;4468803,16;40,36829147;-3,59150626;CALLE;ALTO DEL RETIRO;6;28051;C/V C/ ANTONIO DE GADES. JUNTO ÁREA CANINA;31065803;2022-05-05;FUE_18_0073;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
