ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9046983";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442026.00";"4473567.00";"ETRS89";40.41070352;-3.68328154;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entre Noria del Huerto del Francés y Glorieta del Ángel Caído";"31026163";;"FUEP_03_01_0015";"6";"ZV";"PERSONAS";"OTRO"
"9046985";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442303.00";"4473637.00";"ETRS89";40.41135336;-3.68002339;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entorno Rosaleda";"31026163";;"FUEP_03_01_0017";"6";"ZV";"PERSONAS";"OTRO"
"9046984";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442221.00";"4473614.00";"ETRS89";40.41114048;-3.68098769;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entorno Rosaleda";"31026163";;"FUEP_03_01_0016";"6";"ZV";"PERSONAS";"OTRO"
"9046986";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442250.00";"4473411.00";"ETRS89";40.40931376;-3.68062750;"PLAZA";"INDEPENDENCIA";"7";"28001";"Área canina";"31026163";;"FUEP_03_01_0018";"6";"ZV";"PERSONAS";"MU-37A"
"9046988";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442182.00";"4473861.00";"ETRS89";40.41336288;-3.68146977;"PLAZA";"INDEPENDENCIA";"7";"28001";"Estanque Palacio de Cristal";"31026163";;"FUEP_03_01_0020";"6";"ZV";"PERSONAS";"OTRO"
"9046989";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442386.00";"4474051.00";"ETRS89";40.41508864;-3.67908270;"PLAZA";"INDEPENDENCIA";"7";"28001";"En área infantil AI_000008";"31026163";;"FUEP_03_01_0021";"6";"ZV";"PERSONAS";"OTRO"
"9046994";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442236.00";"4474304.00";"ETRS89";40.41735740;-3.68087357;"PLAZA";"INDEPENDENCIA";"7";"28001";"Cerca Plaza de Guatemala";"31026163";;"FUEP_03_01_0026";"6";"ZV";"PERSONAS";"OTRO"
"9046995";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442186.00";"4474194.00";"ETRS89";40.41636299;-3.68145289;"PLAZA";"INDEPENDENCIA";"7";"28001";"Paseo de Venezuela (5 hilos)";"31026163";;"FUEP_03_01_0027";"6";"ZV";"PERSONAS";"OTRO"
"9046987";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442420.00";"4473319.00";"ETRS89";40.40849675;-3.67861573;"PLAZA";"INDEPENDENCIA";"7";"28001";"Puerta de Mariano de Cavia";"31026163";;"FUEP_03_01_0019";"6";"ZV";"PERSONAS";"OTRO"
"9046990";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442075.00";"4473948.00";"ETRS89";40.41413918;-3.68273876;"PLAZA";"INDEPENDENCIA";"7";"28001";"Amigos del Retiro";"31026163";;"FUEP_03_01_0022";"6";"ZV";"PERSONAS";"OTRO"
