ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;MODELO
"517471";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436610.76";"4470647.66";"ETRS89";40.38401013;-3.74680999;"AVENIDA";"NUESTRA SEÑORA DE FATIMA";"47";"28047";"AVENIDA DE NUESTRA SEÑORA DE FATIMA,47";"11075117";"2011-02-24 00:00:00.0";"269453";"5PPL";"VIARIO";"50_LTS_EX"
"517472";"Papelera";"155";"SAN PASCUAL";"15";"CIUDAD LINEAL";"OPERATIVO";"444902.66";"4477659.25";"ETRS89";40.44776415;-3.64973404;"CALLE";"ARTURO SORIA";"120";"28027";"CALLE DE ARTURO SORIA,120";"20039140";"2011-02-24 00:00:00.0";"269454";"5PPL";"VIARIO";"50_LTS_EX"
"517476";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"445154.84";"4471241.40";"ETRS89";40.38996515;-3.64620697;"AVENIDA";"ALBUFERA";"246";"28038";"AVENIDA DE LA ALBUFERA,246";"11097244";"2011-02-24 00:00:00.0";"269458";"5PPL";"VIARIO";"50_LTS_EX"
"517477";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"445348.28";"4471183.82";"ETRS89";40.38945915;-3.64392298;"AVENIDA";"PABLO NERUDA";"40";"28038";"AVENIDA DE PABLO NERUDA,40";"11096833";"2011-02-24 00:00:00.0";"269459";"5PPL";"VIARIO";"50_LTS_EX"
"517479";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436396.30";"4470783.79";"ETRS89";40.38522010;-3.74935000;"CALLE";"NUESTRA SEÑORA DE LA LUZ";"47";"28047";"CALLE DE NUESTRA SEÑORA DE LA LUZ,47";"20168120";"2011-02-24 00:00:00.0";"269461";"5PPL";"VIARIO";"50_LTS_EX"
"517483";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436604.96";"4470966.30";"ETRS89";40.38688013;-3.74691003;"CALLE";"JUAN ALONSO";"17";"28047";"CALLE DE JUAN ALONSO,17";"31002703";"2011-02-24 00:00:00.0";"269465";"5PPL";"VIARIO";"50_LTS_EX"
"517485";"Papelera";"074";"ALMAGRO";"07";"CHAMBERI";"OPERATIVO";"440814.83";"4476505.99";"ETRS89";40.43709409;-3.69782896;"CALLE";"ALONSO CANO";"14";"28010";"CALLE DE ALONSO CANO,14";"20014362";"2019-03-18 00:00:00.0";"304650";"5PPL";"VIARIO";"50_LTS_EX"
"517488";"Papelera";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"445447.61";"4477227.22";"ETRS89";40.44390813;-3.64327101;"CALLE";"ARTURO SORIA";"51";"28027";"CALLE DE ARTURO SORIA,51";"31015859";"2011-02-24 00:00:00.0";"269470";"5PPL";"VIARIO";"50_LTS_EX"
"517492";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"437062.91";"4470915.82";"ETRS89";40.38646011;-3.74150998;"PASEO";"MARCELINO CAMACHO";"24";"28025";"PASEO DE MARCELINO CAMACHO,24";"11074559";"2011-02-24 00:00:00.0";"269474";"5PPL";"VIARIO";"50_LTS_EX"
"517215";"Papelera";"073";"TRAFALGAR";"07";"CHAMBERI";"OPERATIVO";"440470.83";"4475847.34";"ETRS89";40.43113613;-3.70182294;"CALLE";"ALBURQUERQUE";"15";"28010";"CALLE DE ALBURQUERQUE,15";"11039987";"2011-02-23 00:00:00.0";"269189";"5PPL";"VIARIO";"50_LTS_EX"
