ID,GEO_ID,Address_ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
518168,518168_GEO,518168_Address_ID,181,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,OPERATIVO,40.36791017,-3.62826002,AVENIDA,MAYORAZGO,26,28051,270184,50_LTS_EX
518171,518171_GEO,518171_Address_ID,022,Las Acacias,https://wikidata.org/entity/Q3319190,02,Arganzuela,https://wikidata.org/entity/Q2000929,OPERATIVO,40.39958316,-3.71110499,PASEO,YESERIAS,13,28005,270187,50_LTS_EX
518175,518175_GEO,518175_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.51127908,-3.67783198,CALLE,MARIA TUBAU,17 A,28050,270191,50_LTS_EX
518174,518174_GEO,518174_Address_ID,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.36066012,-3.69113995,CALLE,AFECTO,4,28041,270190,50_LTS_EX
518182,518182_GEO,518182_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50660013,-3.67981,CALLE,CASTILLO DE CANDANCHU,50,28050,270198,50_LTS_EX
518180,518180_GEO,518180_Address_ID,022,Las Acacias,https://wikidata.org/entity/Q3319190,02,Arganzuela,https://wikidata.org/entity/Q2000929,OPERATIVO,40.40535813,-3.70532796,RONDA,TOLEDO,30,28005,270196,50_LTS_EX
518178,518178_GEO,518178_Address_ID,021,Imperial,https://wikidata.org/entity/Q3773740,02,Arganzuela,https://wikidata.org/entity/Q2000929,OPERATIVO,40.40423409,-3.71931901,CALLE,PARADINAS,23,28005,270194,50_LTS_EX
518179,518179_GEO,518179_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.51209011,-3.67684002,CALLE,MARIA TUBAU,15 E,28050,270195,50_LTS_EX
518186,518186_GEO,518186_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.5039971,-3.67632399,CALLE,CASTIELLO DE JACA,19 B,28050,270202,50_LTS_EX
518187,518187_GEO,518187_Address_ID,026,Palos de la Frontera,https://wikidata.org/entity/Q521009,02,Arganzuela,https://wikidata.org/entity/Q2000929,OPERATIVO,40.40701409,-3.693667,PASEO,SANTA MARIA DE LA CABEZA,1,28045,270203,50_LTS_EX
518188,518188_GEO,518188_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50622308,-3.67709794,CALLE,CASTIELLO DE JACA,39,28050,270204,50_LTS_EX
518193,518193_GEO,518193_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50859712,-3.67433902,CALLE,RABANAL DEL CAMINO,8,28050,270209,50_LTS_EX
518194,518194_GEO,518194_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50407116,-3.67492003,CALLE,SAN JUAN DE ORTEGA,20 C,28050,270210,50_LTS_EX
518195,518195_GEO,518195_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50132112,-3.67090996,CALLE,CARDEÑUELA RIOPICO,9 D,28050,270211,50_LTS_EX
518196,518196_GEO,518196_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50037813,-3.67038602,CALLE,VILORIA DE LA RIOJA,26,28050,270212,50_LTS_EX
518199,518199_GEO,518199_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49780012,-3.67571005,CALLE,ESTELLA,7,28050,270215,50_LTS_EX
518200,518200_GEO,518200_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.48744015,-3.72282996,PLAZA,VALLE DE LA JAROSA,35,28035,270216,50_LTS_EX
518202,518202_GEO,518202_Address_ID,088,El Goloso,https://wikidata.org/entity/Q10271137,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50354112,-3.69563504,AVENIDA,MONASTERIO DE SILOS,38 G,28049,270218,50_LTS_EX
518203,518203_GEO,518203_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49345009,-3.70463999,CALLE,MARBELLA,34,28034,270219,50_LTS_EX
518204,518204_GEO,518204_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.48863016,-3.71910003,CALLE,COLLADO DEL HORNILLO,2,28035,270220,50_LTS_EX
518205,518205_GEO,518205_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50426015,-3.67306897,CALLE,REDECILLA DEL CAMINO,2 K,28050,270221,50_LTS_EX
518206,518206_GEO,518206_Address_ID,088,El Goloso,https://wikidata.org/entity/Q10271137,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.5053291,-3.69372003,AVENIDA,MONASTERIO DE SILOS,71,28049,270222,50_LTS_EX
518208,518208_GEO,518208_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50583712,-3.67220898,AVENIDA,CAMINO DE SANTIAGO,45 C,28050,270224,50_LTS_EX
518207,518207_GEO,518207_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4951801,-3.70554998,CALLE,PEÑA SANTA,63,28034,270223,50_LTS_EX
518210,518210_GEO,518210_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4912201,-3.72252997,CALLE,COLLADO DE MARICHIVA,101,28035,270226,50_LTS_EX
518212,518212_GEO,518212_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49410615,-3.70398496,CALLE,PEÑA SANTA,29,28034,270228,50_LTS_EX
518262,518262_GEO,518262_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50940815,-3.66775294,CALLE,LIGONDE,1,28050,270283,50_LTS_EX
518263,518263_GEO,518263_Address_ID,083,Peñagrande,https://wikidata.org/entity/Q3319582,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4845541,-3.72606998,CALLE,RAMON GOMEZ DE LA SERNA,45,28035,270284,50_LTS_EX
518267,518267_GEO,518267_Address_ID,087,Mirasierra,https://wikidata.org/entity/Q31134,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49724017,-3.71054995,CALLE,MARBELLA,83,28034,270288,50_LTS_EX
518266,518266_GEO,518266_Address_ID,083,Peñagrande,https://wikidata.org/entity/Q3319582,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.48456412,-3.72575104,CALLE,RAMON GOMEZ DE LA SERNA,45,28035,270287,50_LTS_EX
